linkId;timestamp;avgTravelTime;sdTravelTime;numVehicles;aggPeriod.seconds;aggPeriod.nanos;startTime.date.year;startTime.date.month;startTime.date.day;startTime.time.hour;startTime.time.minute;startTime.time.second;startTime.time.nano;endTime.date.year;endTime.date.month;endTime.date.day;endTime.time.hour;endTime.time.minute;endTime.time.second;endTime.time.nano
12500009679145;1616258052844;0.1849680004119873;0.0;1;9;0;2021;7;23;6;19;4;0;2021;4;23;6;18;52;0
-12500009405758;1616258052851;0.1849680004119873;0.0;1;12;0;2021;7;21;18;54;48;0;2021;48;21;18;41;48;0
12500009637568;1616258052856;0.1849680004119873;0.0;1;73;0;2021;5;14;16;28;44;0;2021;44;14;16;53;46;0
12500009550833;1616258052856;0.1849680004119873;0.0;1;191;0;2021;3;1;12;35;20;0;2021;20;1;12;16;43;0
12500009225232;1616258052856;0.1849680004119873;0.0;1;65;0;2021;2;3;20;58;4;0;2021;4;3;20;55;41;0
12500010101863;1616258052857;0.1849680004119873;0.0;1;62;0;2021;11;2;3;28;43;0;2021;43;2;3;18;51;0
12500009635398;1616258052857;0.1849680004119873;0.0;1;56;0;2021;5;23;18;15;23;0;2021;23;23;18;50;53;0
-12500009520061;1616258052857;0.1849680004119873;0.0;1;76;0;2021;3;12;19;43;14;0;2021;14;12;19;20;36;0
12500009631266;1616258052858;0.1849680004119873;0.0;1;156;0;2021;11;15;9;55;20;0;2021;20;15;9;10;28;0
12500009631267;1616258052858;0.1849680004119873;0.0;1;163;0;2021;7;17;6;52;6;0;2021;6;17;6;15;17;0
12500009635401;1616258052858;0.1849680004119873;0.0;1;125;0;2021;6;24;0;40;24;0;2021;24;24;0;28;56;0
12500009635399;1616258052858;0.1849680004119873;0.0;1;169;0;2021;11;12;13;24;6;0;2021;6;12;13;29;43;0
12500009635400;1616258052858;0.1849680004119873;0.0;1;153;0;2021;10;10;12;0;45;0;2021;45;10;12;54;56;0
12500009635402;1616258052858;0.1849680004119873;0.0;1;59;0;2021;5;17;9;8;39;0;2021;39;17;9;36;52;0
12500009719656;1616258052858;0.1849680004119873;0.0;1;49;0;2021;5;18;10;10;5;0;2021;5;18;10;26;48;0
-12500009520068;1616258052858;0.1849680004119873;0.0;1;118;0;2021;7;24;2;35;43;0;2021;43;24;2;26;49;0
12500009882518;1616258052860;0.1849680004119873;0.0;1;17;0;2021;9;14;6;12;37;0;2021;37;14;6;41;55;0
12500009520070;1616258052860;0.1849680004119873;0.0;1;64;0;2021;7;26;21;24;44;0;2021;44;26;21;47;57;0
12500009368934;1616258052860;0.1849680004119873;0.0;1;128;0;2021;11;13;22;58;28;0;2021;28;13;22;56;50;0
12500009932210;1616258052860;0.1849680004119873;0.0;1;86;0;2021;11;14;5;52;5;0;2021;5;14;5;16;6;0
