linkId;timestamp;avgTravelTime;sdTravelTime;numVehicles;aggPeriod.seconds;aggPeriod.nanos;startTime.date.year;startTime.date.month;startTime.date.day;startTime.time.hour;startTime.time.minute;startTime.time.second;startTime.time.nano;endTime.date.year;endTime.date.month;endTime.date.day;endTime.time.hour;endTime.time.minute;endTime.time.second;endTime.time.nano
12500009783025;1616258052718;0.1849680004119873;0.0;1;183;0;2021;10;14;12;14;39;0;2021;39;14;12;57;45;0
12500009345468;1616258052720;0.1849680004119873;0.0;1;150;0;2021;7;9;9;27;25;0;2021;25;9;9;17;58;0
12500009345467;1616258052720;0.1849680004119873;0.0;1;106;0;2021;10;15;17;37;56;0;2021;56;15;17;38;58;0
12500009427828;1616258052722;0.1849680004119873;0.0;1;103;0;2021;8;24;19;54;31;0;2021;31;24;19;57;33;0
12500009427841;1616258052723;0.1849680004119873;0.0;1;155;0;2021;6;5;17;49;8;0;2021;8;5;17;52;23;0
12500009427840;1616258052723;0.1849680004119873;0.0;1;182;0;2021;9;7;18;32;15;0;2021;15;7;18;18;44;0
12500009512102;1616258052724;0.1849680004119873;0.0;1;92;0;2021;9;19;17;24;5;0;2021;5;19;17;26;49;0
12500009512103;1616258052724;0.1849680004119873;0.0;1;31;0;2021;7;7;8;58;24;0;2021;24;7;8;53;38;0
12500009846358;1616258052726;0.1849680004119873;0.0;1;43;0;2021;3;7;17;2;42;0;2021;42;7;17;24;55;0
12500009982365;1616258052730;0.1849680004119873;0.0;1;199;0;2021;6;25;18;20;12;0;2021;12;25;18;50;54;0
12500009783026;1616258052731;0.1849680004119873;0.0;1;95;0;2021;9;17;16;50;20;0;2021;20;17;16;42;39;0
12500009998108;1616258052734;0.1849680004119873;0.0;1;130;0;2021;5;24;16;53;20;0;2021;20;24;16;53;53;0
12500009374582;1616258052738;0.1849680004119873;0.0;1;53;0;2021;8;1;17;55;6;0;2021;6;1;17;23;44;0
12500009427833;1616258052739;0.1849680004119873;0.0;1;125;0;2021;1;3;2;31;11;0;2021;11;3;2;12;12;0
12500009427832;1616258052739;0.1849680004119873;0.0;1;34;0;2021;10;7;7;19;57;0;2021;57;7;7;34;57;0
12500009512104;1616258052741;0.1849680004119873;0.0;1;165;0;2021;11;7;12;48;21;0;2021;21;7;12;43;42;0
12500009512105;1616258052741;0.1849680004119873;0.0;1;13;0;2021;11;4;9;25;19;0;2021;19;4;9;52;48;0
12500009562390;1616258052743;0.1849680004119873;0.0;1;60;0;2021;4;2;14;17;33;0;2021;33;2;14;36;41;0
-12500009437416;1616258052796;0.1849680004119873;0.0;1;74;0;2021;10;21;6;15;4;0;2021;4;21;6;22;33;0
-12500009437417;1616258052841;0.1849680004119873;0.0;1;168;0;2021;9;20;3;41;21;0;2021;21;20;3;46;53;0
12500009427839;1616258052841;0.1849680004119873;0.0;1;36;0;2021;3;21;4;37;3;0;2021;3;21;4;15;14;0
12500009427844;1616258052841;0.1849680004119873;0.0;1;129;0;2021;8;26;6;23;10;0;2021;10;26;6;41;17;0
12500009783024;1616258052841;0.1849680004119873;0.0;1;196;0;2021;1;23;2;52;31;0;2021;31;23;2;58;34;0
12500009374581;1616258052842;0.1849680004119873;0.0;1;138;0;2021;3;24;13;21;45;0;2021;45;24;13;47;46;0
12500009427842;1616258052842;0.1849680004119873;0.0;1;175;0;2021;3;21;10;19;16;0;2021;16;21;10;10;44;0
12500009427834;1616258052842;0.1849680004119873;0.0;1;130;0;2021;3;11;2;37;35;0;2021;35;11;2;27;57;0
12500009427830;1616258052842;0.1849680004119873;0.0;1;165;0;2021;3;9;1;3;41;0;2021;41;9;1;4;53;0
12500009427829;1616258052842;0.1849680004119873;0.0;1;86;0;2021;2;13;0;41;42;0;2021;42;13;0;22;50;0
12500009172680;1616258052843;0.1849680004119873;0.0;1;124;0;2021;10;1;15;22;29;0;2021;29;1;15;51;45;0
12500009427831;1616258052843;0.1849680004119873;0.0;1;70;0;2021;5;5;3;49;23;0;2021;23;5;3;47;45;0
12500009427843;1616258052843;0.1849680004119873;0.0;1;195;0;2021;5;16;22;39;56;0;2021;56;16;22;56;56;0
12500009706326;1616258052960;0.1849680004119873;0.0;1;150;0;2021;2;25;22;2;21;0;2021;21;25;22;31;58;0
-12500009176975;1616258052970;0.1849680004119873;0.0;1;186;0;2021;6;12;21;23;28;0;2021;28;12;21;27;32;0
12500009282742;1616258052976;0.1849680004119873;0.0;1;64;0;2021;11;18;15;24;34;0;2021;34;18;15;47;48;0
12500009335918;1616258052976;0.1849680004119873;0.0;1;91;0;2021;9;11;7;47;54;0;2021;54;11;7;39;58;0
12500009345438;1616258052977;0.1849680004119873;0.0;1;3;0;2021;7;1;21;35;40;0;2021;40;1;21;56;54;0
12500009388355;1616258052977;0.1849680004119873;0.0;1;171;0;2021;6;23;14;46;33;0;2021;33;23;14;56;58;0
12500009388358;1616258052977;0.1849680004119873;0.0;1;80;0;2021;7;20;4;56;36;0;2021;36;20;4;39;53;0
12500009801668;1616258052980;0.1849680004119873;0.0;1;139;0;2021;10;24;11;26;54;0;2021;54;24;11;30;57;0
12500009801670;1616258052980;0.1849680004119873;0.0;1;9;0;2021;1;27;0;14;9;0;2021;9;27;0;18;12;0
12500009601072;1616258052980;0.1849680004119873;0.0;1;143;0;2021;1;4;7;5;53;0;2021;53;4;7;21;56;0
12500009671615;1616258052980;0.1849680004119873;0.0;1;191;0;2021;10;1;22;0;47;0;2021;47;1;22;35;54;0
12500009740396;1616258052981;0.1849680004119873;0.0;1;179;0;2021;11;8;4;55;37;0;2021;37;8;4;54;44;0
12500010086094;1616258052988;0.1849680004119873;0.0;1;25;0;2021;10;27;12;53;13;0;2021;13;27;12;38;46;0
12500009905525;1616258052988;0.1849680004119873;0.0;1;139;0;2021;9;12;12;3;27;0;2021;27;12;12;16;50;0
12500009975700;1616258052990;0.1849680004119873;0.0;1;85;0;2021;9;19;19;8;31;0;2021;31;19;19;20;57;0
12500010048718;1616258053009;0.1849680004119873;0.0;1;53;0;2021;3;25;4;48;46;0;2021;46;25;4;57;48;0
12500009549337;1616258053013;0.1849680004119873;0.0;1;72;0;2021;7;4;17;11;28;0;2021;28;4;17;41;53;0
12500009553346;1616258053013;0.1849680004119873;0.0;1;34;0;2021;3;1;22;10;58;0;2021;58;1;22;52;58;0
12500009678118;1616258053027;0.1849680004119873;0.0;1;176;0;2021;11;10;14;14;39;0;2021;39;10;14;55;45;0
12500009676827;1616258053028;0.1849680004119873;0.0;1;109;0;2021;10;16;12;50;14;0;2021;14;16;12;31;21;0
12500009661388;1616258053029;0.1849680004119873;0.0;1;121;0;2021;4;17;11;34;58;0;2021;58;17;11;46;58;0
12500009727849;1616258053036;0.1849680004119873;0.0;1;126;0;2021;3;11;3;1;45;0;2021;45;11;3;32;47;0
12500009793506;1616258053039;0.1849680004119873;0.0;1;103;0;2021;6;24;1;41;4;0;2021;4;24;1;58;43;0
12500009760744;1616258053039;0.1849680004119873;0.0;1;160;0;2021;8;16;17;51;14;0;2021;14;16;17;54;35;0
12500009801667;1616258053039;0.1849680004119873;0.0;1;165;0;2021;4;10;10;51;58;0;2021;58;10;10;13;58;0
