linkId;timestamp;avgTravelTime;sdTravelTime;numVehicles;aggPeriod.seconds;aggPeriod.nanos;startTime.date.year;startTime.date.month;startTime.date.day;startTime.time.hour;startTime.time.minute;startTime.time.second;startTime.time.nano;endTime.date.year;endTime.date.month;endTime.date.day;endTime.time.hour;endTime.time.minute;endTime.time.second;endTime.time.nano
12500009296352;1616258052719;0.1849680004119873;0.0;1;45;0;2021;8;9;0;36;54;0;2021;54;9;0;4;54;0
12500009387776;1616258052721;0.1849680004119873;0.0;1;5;0;2021;10;19;6;29;5;0;2021;5;19;6;31;15;0
12500009493280;1616258052723;0.1849680004119873;0.0;1;121;0;2021;8;26;3;53;19;0;2021;19;26;3;51;28;0
12500009520524;1616258052724;0.1849680004119873;0.0;1;116;0;2021;6;23;20;49;31;0;2021;31;23;20;48;32;0
12500009585299;1616258052726;0.1849680004119873;0.0;1;175;0;2021;7;23;13;54;42;0;2021;42;23;13;51;48;0
12500009576877;1616258052726;0.1849680004119873;0.0;1;193;0;2021;3;1;5;27;18;0;2021;18;1;5;30;38;0
12500010002906;1616258052730;0.1849680004119873;0.0;1;144;0;2021;10;12;4;25;25;0;2021;25;12;4;17;29;0
12500009964730;1616258052730;0.1849680004119873;0.0;1;111;0;2021;5;5;4;24;36;0;2021;36;5;4;25;46;0
12500009553294;1616258052730;0.1849680004119873;0.0;1;159;0;2021;4;20;3;2;17;0;2021;17;20;3;14;49;0
12500009616640;1616258052730;0.1849680004119873;0.0;1;25;0;2021;11;3;5;36;27;0;2021;27;3;5;34;36;0
12500009663495;1616258052730;0.1849680004119873;0.0;1;87;0;2021;7;23;11;49;51;0;2021;51;23;11;52;52;0
12500009663471;1616258052730;0.1849680004119873;0.0;1;19;0;2021;10;24;4;58;28;0;2021;28;24;4;14;49;0
12500009663482;1616258052730;0.1849680004119873;0.0;1;105;0;2021;8;10;8;19;29;0;2021;29;10;8;56;56;0
12500009704254;1616258052731;0.1849680004119873;0.0;1;129;0;2021;2;6;1;49;11;0;2021;11;6;1;33;48;0
12500009823675;1616258052731;0.1849680004119873;0.0;1;64;0;2021;2;11;15;36;30;0;2021;30;11;15;30;42;0
12500009846380;1616258052731;0.1849680004119873;0.0;1;161;0;2021;6;2;9;18;8;0;2021;8;2;9;30;25;0
12500009562664;1616258052731;0.1849680004119873;0.0;1;6;0;2021;1;2;16;4;35;0;2021;35;2;16;31;51;0
12500009553469;1616258052732;0.1849680004119873;0.0;1;122;0;2021;10;12;0;23;57;0;2021;57;12;0;37;57;0
12500009427174;1616258052732;0.1849680004119873;0.0;1;77;0;2021;6;7;17;54;42;0;2021;42;7;17;43;52;0
12500009427175;1616258052732;0.1849680004119873;0.0;1;111;0;2021;10;19;12;37;57;0;2021;57;19;12;14;58;0
-12500009263530;1616258052733;0.1849680004119873;0.0;1;193;0;2021;8;23;18;20;7;0;2021;7;23;18;51;14;0
12500009263530;1616258052733;0.1849680004119873;0.0;1;5;0;2021;9;15;14;21;45;0;2021;45;15;14;48;47;0
12500009075312;1616258052733;0.1849680004119873;0.0;1;81;0;2021;5;11;15;49;27;0;2021;27;11;15;23;52;0
-12500009547847;1616258052733;0.1849680004119873;0.0;1;77;0;2021;3;23;0;10;9;0;2021;9;23;0;45;53;0
12500009663479;1616258052735;0.1849680004119873;0.0;1;67;0;2021;2;12;19;3;39;0;2021;39;12;19;24;41;0
-12500009921886;1616258052736;0.1849680004119873;0.0;1;39;0;2021;4;24;11;34;56;0;2021;56;24;11;21;57;0
-12500009921885;1616258052736;0.1849680004119873;0.0;1;10;0;2021;10;17;9;53;44;0;2021;44;17;9;12;44;0
12500009921885;1616258052736;0.1849680004119873;0.0;1;190;0;2021;2;12;0;52;36;0;2021;36;12;0;33;41;0
12500009921886;1616258052736;0.1849680004119873;0.0;1;140;0;2021;1;16;11;14;58;0;2021;58;16;11;40;58;0
12500009432981;1616258052740;0.1849680004119873;0.0;1;29;0;2021;3;7;2;5;6;0;2021;6;7;2;29;25;0
12500009462402;1616258052740;0.1849680004119873;0.0;1;92;0;2021;5;21;5;8;1;0;2021;1;21;5;44;51;0
12500009676604;1616258052796;0.1849680004119873;0.0;1;87;0;2021;3;27;10;24;43;0;2021;43;27;10;20;57;0
-12500009676604;1616258052796;0.1849680004119873;0.0;1;76;0;2021;8;4;0;53;21;0;2021;21;4;0;32;21;0
-12500009427176;1616258052796;0.1849680004119873;0.0;1;1;0;2021;8;16;8;28;33;0;2021;33;16;8;36;50;0
-12500009427173;1616258052796;0.1849680004119873;0.0;1;192;0;2021;6;11;17;22;3;0;2021;3;11;17;19;53;0
-12500009511567;1616258052796;0.1849680004119873;0.0;1;102;0;2021;10;17;12;37;16;0;2021;16;17;12;52;47;0
-12500009511568;1616258052796;0.1849680004119873;0.0;1;97;0;2021;4;7;4;20;54;0;2021;54;7;4;33;55;0
-12500009628768;1616258052796;0.1849680004119873;0.0;1;180;0;2021;8;27;19;24;46;0;2021;46;27;19;45;52;0
12500009189926;1616258052799;0.1849680004119873;0.0;1;130;0;2021;11;5;7;16;19;0;2021;19;5;7;55;44;0
-12500009787034;1616258052799;0.1849680004119873;0.0;1;119;0;2021;4;14;13;35;52;0;2021;52;14;13;14;54;0
12500009787034;1616258052800;0.1849680004119873;0.0;1;169;0;2021;10;6;2;15;25;0;2021;25;6;2;10;28;0
12500009314041;1616258052800;0.1849680004119873;0.0;1;81;0;2021;11;26;11;22;31;0;2021;31;26;11;57;40;0
-12500009562666;1616258052801;0.1849680004119873;0.0;1;20;0;2021;5;11;6;14;49;0;2021;49;11;6;50;57;0
12500009562666;1616258052801;0.1849680004119873;0.0;1;40;0;2021;5;24;4;32;39;0;2021;39;24;4;10;40;0
-12500009646808;1616258052801;0.1849680004119873;0.0;1;161;0;2021;5;24;4;4;53;0;2021;53;24;4;19;55;0
12500009646808;1616258052801;0.1849680004119873;0.0;1;175;0;2021;10;18;0;52;40;0;2021;40;18;0;33;47;0
12500009493009;1616258052801;0.1849680004119873;0.0;1;184;0;2021;7;21;20;11;51;0;2021;51;21;20;25;55;0
-12500009150403;1616258052801;0.1849680004119873;0.0;1;33;0;2021;8;21;8;13;23;0;2021;23;21;8;40;23;0
-12500009544168;1616258052801;0.1849680004119873;0.0;1;18;0;2021;9;10;8;52;4;0;2021;4;10;8;8;8;0
-12500009507281;1616258052801;0.1849680004119873;0.0;1;172;0;2021;10;21;10;20;29;0;2021;29;21;10;50;29;0
-12500009585297;1616258052801;0.1849680004119873;0.0;1;53;0;2021;6;11;7;18;13;0;2021;13;11;7;37;25;0
-12500009585296;1616258052802;0.1849680004119873;0.0;1;45;0;2021;10;27;17;33;4;0;2021;4;27;17;32;32;0
-12500009585293;1616258052802;0.1849680004119873;0.0;1;17;0;2021;3;18;2;12;7;0;2021;7;18;2;52;45;0
-12500009585289;1616258052802;0.1849680004119873;0.0;1;187;0;2021;6;12;9;20;11;0;2021;11;12;9;24;31;0
12500009663461;1616258052802;0.1849680004119873;0.0;1;8;0;2021;5;16;18;54;53;0;2021;53;16;18;20;54;0
12500009663481;1616258052802;0.1849680004119873;0.0;1;57;0;2021;6;2;6;44;30;0;2021;30;2;6;21;33;0
12500009663483;1616258052802;0.1849680004119873;0.0;1;198;0;2021;11;24;6;24;16;0;2021;16;24;6;56;53;0
12500009663484;1616258052802;0.1849680004119873;0.0;1;156;0;2021;11;12;4;12;49;0;2021;49;12;4;36;52;0
12500009663500;1616258052802;0.1849680004119873;0.0;1;40;0;2021;11;9;1;8;16;0;2021;16;9;1;6;23;0
12500009296350;1616258052802;0.1849680004119873;0.0;1;191;0;2021;6;7;16;13;33;0;2021;33;7;16;24;51;0
12500009296351;1616258052802;0.1849680004119873;0.0;1;99;0;2021;7;19;4;31;42;0;2021;42;19;4;56;49;0
12500009464665;1616258052802;0.1849680004119873;0.0;1;178;0;2021;6;11;6;11;23;0;2021;23;11;6;15;28;0
-12500009094403;1616258052802;0.1849680004119873;0.0;1;181;0;2021;9;1;0;40;11;0;2021;11;1;0;29;45;0
-12500009195124;1616258052802;0.1849680004119873;0.0;1;112;0;2021;3;26;9;44;42;0;2021;42;26;9;36;54;0
-12500009585291;1616258052802;0.1849680004119873;0.0;1;108;0;2021;7;19;7;10;0;0;2021;0;19;7;21;8;0
-12500009585290;1616258052802;0.1849680004119873;0.0;1;5;0;2021;11;8;9;2;54;0;2021;54;8;9;30;57;0
-12500009585287;1616258052802;0.1849680004119873;0.0;1;3;0;2021;7;7;10;35;21;0;2021;21;7;10;39;58;0
-12500009663469;1616258052802;0.1849680004119873;0.0;1;183;0;2021;11;14;2;52;8;0;2021;8;14;2;49;21;0
-12500009663473;1616258052802;0.1849680004119873;0.0;1;33;0;2021;4;14;12;38;53;0;2021;53;14;12;19;56;0
12500009153995;1616258052802;0.1849680004119873;0.0;1;192;0;2021;7;22;2;36;55;0;2021;55;22;2;7;57;0
12500009660016;1616258052802;0.1849680004119873;0.0;1;117;0;2021;10;18;3;58;16;0;2021;16;18;3;44;39;0
12500009178235;1616258052804;0.1849680004119873;0.0;1;160;0;2021;3;22;6;44;38;0;2021;38;22;6;54;51;0
12500009178236;1616258052804;0.1849680004119873;0.0;1;97;0;2021;5;3;16;25;6;0;2021;6;3;16;22;58;0
12500009214304;1616258052804;0.1849680004119873;0.0;1;59;0;2021;11;3;6;49;49;0;2021;49;3;6;23;58;0
12500009214303;1616258052804;0.1849680004119873;0.0;1;33;0;2021;5;24;8;9;49;0;2021;49;24;8;48;56;0
12500009214305;1616258052804;0.1849680004119873;0.0;1;139;0;2021;4;19;19;28;36;0;2021;36;19;19;49;51;0
12500009295397;1616258052804;0.1849680004119873;0.0;1;163;0;2021;2;17;17;40;10;0;2021;10;17;17;21;36;0
12500009295398;1616258052804;0.1849680004119873;0.0;1;187;0;2021;4;5;8;2;54;0;2021;54;5;8;39;55;0
12500009295399;1616258052805;0.1849680004119873;0.0;1;192;0;2021;2;3;5;50;35;0;2021;35;3;5;37;55;0
12500009402630;1616258052805;0.1849680004119873;0.0;1;83;0;2021;5;5;12;10;31;0;2021;31;5;12;38;45;0
12500009402629;1616258052805;0.1849680004119873;0.0;1;160;0;2021;8;5;10;0;54;0;2021;54;5;10;12;58;0
12500009402628;1616258052805;0.1849680004119873;0.0;1;103;0;2021;11;16;5;15;9;0;2021;9;16;5;23;10;0
12500009396293;1616258052805;0.1849680004119873;0.0;1;182;0;2021;8;15;0;45;57;0;2021;57;15;0;45;58;0
12500009432980;1616258052805;0.1849680004119873;0.0;1;119;0;2021;11;12;1;12;25;0;2021;25;12;1;5;52;0
12500009424534;1616258052805;0.1849680004119873;0.0;1;72;0;2021;3;13;11;34;56;0;2021;56;13;11;42;58;0
12500009499613;1616258052807;0.1849680004119873;0.0;1;101;0;2021;11;17;20;30;52;0;2021;52;17;20;40;57;0
12500009495339;1616258052807;0.1849680004119873;0.0;1;104;0;2021;11;1;12;31;46;0;2021;46;1;12;26;49;0
12500009495340;1616258052808;0.1849680004119873;0.0;1;24;0;2021;9;22;19;12;28;0;2021;28;22;19;56;29;0
12500009550284;1616258052809;0.1849680004119873;0.0;1;81;0;2021;11;15;7;5;19;0;2021;19;15;7;15;21;0
12500009616639;1616258052809;0.1849680004119873;0.0;1;53;0;2021;4;11;4;29;8;0;2021;8;11;4;46;28;0
12500009619631;1616258052809;0.1849680004119873;0.0;1;13;0;2021;3;27;5;1;15;0;2021;15;27;5;56;26;0
12500009663455;1616258052810;0.1849680004119873;0.0;1;59;0;2021;9;19;20;23;37;0;2021;37;19;20;35;53;0
12500009663487;1616258052810;0.1849680004119873;0.0;1;164;0;2021;8;6;6;31;3;0;2021;3;6;6;49;37;0
12500009663499;1616258052810;0.1849680004119873;0.0;1;94;0;2021;6;14;10;43;44;0;2021;44;14;10;18;57;0
12500009663501;1616258052810;0.1849680004119873;0.0;1;125;0;2021;9;7;0;5;52;0;2021;52;7;0;48;53;0
12500009680683;1616258052811;0.1849680004119873;0.0;1;47;0;2021;6;21;3;12;29;0;2021;29;21;3;36;29;0
12500009911580;1616258052814;0.1849680004119873;0.0;1;187;0;2021;4;8;17;46;57;0;2021;57;8;17;44;58;0
12500009907685;1616258052814;0.1849680004119873;0.0;1;192;0;2021;9;24;1;5;5;0;2021;5;24;1;14;15;0
-12500009177442;1616258052815;0.1849680004119873;0.0;1;123;0;2021;1;21;16;2;28;0;2021;28;21;16;23;52;0
-12500009380971;1616258052815;0.1849680004119873;0.0;1;4;0;2021;11;23;2;54;45;0;2021;45;23;2;24;55;0
-12500009315501;1616258052815;0.1849680004119873;0.0;1;153;0;2021;4;22;7;44;47;0;2021;47;22;7;35;56;0
-12500009387775;1616258052815;0.1849680004119873;0.0;1;198;0;2021;11;15;14;22;6;0;2021;6;15;14;36;35;0
-12500009585295;1616258052815;0.1849680004119873;0.0;1;116;0;2021;2;3;1;54;17;0;2021;17;3;1;56;21;0
-12500009585294;1616258052815;0.1849680004119873;0.0;1;118;0;2021;9;17;4;58;22;0;2021;22;17;4;22;37;0
12500009663462;1616258052816;0.1849680004119873;0.0;1;58;0;2021;1;19;4;16;55;0;2021;55;19;4;9;55;0
