linkId;timestamp;avgTravelTime;sdTravelTime;numVehicles;aggPeriod.seconds;aggPeriod.nanos;startTime.date.year;startTime.date.month;startTime.date.day;startTime.time.hour;startTime.time.minute;startTime.time.second;startTime.time.nano;endTime.date.year;endTime.date.month;endTime.date.day;endTime.time.hour;endTime.time.minute;endTime.time.second;endTime.time.nano
-12500009347632;1616258052789;0.1849680004119873;0.0;1;97;0;2021;4;11;0;29;0;0;2021;0;11;0;8;9;0
-12500009365986;1616258052803;0.1849680004119873;0.0;1;60;0;2021;2;26;14;8;2;0;2021;2;26;14;57;10;0
-12500009371252;1616258052803;0.1849680004119873;0.0;1;75;0;2021;4;26;1;53;45;0;2021;45;26;1;26;53;0
-12500009371253;1616258052803;0.1849680004119873;0.0;1;65;0;2021;8;3;2;2;30;0;2021;30;3;2;45;37;0
-12500009231340;1616258052803;0.1849680004119873;0.0;1;56;0;2021;10;24;22;8;35;0;2021;35;24;22;22;49;0
12500009219420;1616258052804;0.1849680004119873;0.0;1;180;0;2021;8;23;2;14;9;0;2021;9;23;2;22;37;0
12500009230241;1616258052804;0.1849680004119873;0.0;1;189;0;2021;3;19;18;38;57;0;2021;57;19;18;47;57;0
12500009231339;1616258052804;0.1849680004119873;0.0;1;124;0;2021;9;19;3;3;2;0;2021;2;19;3;50;15;0
12500009231341;1616258052804;0.1849680004119873;0.0;1;93;0;2021;6;9;5;44;25;0;2021;25;9;5;39;55;0
12500009256465;1616258052804;0.1849680004119873;0.0;1;129;0;2021;9;24;7;20;50;0;2021;50;24;7;37;57;0
12500009256466;1616258052804;0.1849680004119873;0.0;1;36;0;2021;11;20;17;18;13;0;2021;13;20;17;19;53;0
12500009256468;1616258052804;0.1849680004119873;0.0;1;95;0;2021;5;24;15;47;28;0;2021;28;24;15;54;35;0
12500009256469;1616258052804;0.1849680004119873;0.0;1;189;0;2021;6;27;19;40;14;0;2021;14;27;19;41;40;0
12500009256470;1616258052804;0.1849680004119873;0.0;1;54;0;2021;8;9;9;9;12;0;2021;12;9;9;52;37;0
12500009365987;1616258052805;0.1849680004119873;0.0;1;72;0;2021;6;19;0;54;24;0;2021;24;19;0;18;54;0
12500009371254;1616258052805;0.1849680004119873;0.0;1;15;0;2021;11;9;0;34;3;0;2021;3;9;0;0;44;0
12500009371255;1616258052805;0.1849680004119873;0.0;1;43;0;2021;3;16;18;43;54;0;2021;54;16;18;32;58;0
12500009466497;1616258052806;0.1849680004119873;0.0;1;11;0;2021;2;16;12;16;54;0;2021;54;16;12;15;54;0
12500009499858;1616258052807;0.1849680004119873;0.0;1;16;0;2021;7;8;14;41;22;0;2021;22;8;14;55;41;0
12500009541048;1616258052808;0.1849680004119873;0.0;1;21;0;2021;9;11;9;3;27;0;2021;27;11;9;16;50;0
12500009541047;1616258052808;0.1849680004119873;0.0;1;45;0;2021;1;21;21;53;18;0;2021;18;21;21;53;58;0
12500009617428;1616258052809;0.1849680004119873;0.0;1;107;0;2021;4;25;10;18;51;0;2021;51;25;10;44;56;0
12500009672418;1616258052810;0.1849680004119873;0.0;1;175;0;2021;4;11;1;49;57;0;2021;57;11;1;29;58;0
12500009680674;1616258052811;0.1849680004119873;0.0;1;165;0;2021;10;10;21;17;39;0;2021;39;10;21;35;56;0
12500009680676;1616258052811;0.1849680004119873;0.0;1;14;0;2021;4;18;14;41;57;0;2021;57;18;14;29;57;0
12500009680675;1616258052811;0.1849680004119873;0.0;1;93;0;2021;2;1;5;28;48;0;2021;48;1;5;13;52;0
12500009680677;1616258052811;0.1849680004119873;0.0;1;5;0;2021;11;19;18;12;35;0;2021;35;19;18;57;51;0
12500009801253;1616258052813;0.1849680004119873;0.0;1;92;0;2021;3;15;17;3;28;0;2021;28;15;17;33;28;0
12500009902603;1616258052814;0.1849680004119873;0.0;1;169;0;2021;10;26;20;21;53;0;2021;53;26;20;33;53;0
12500009911581;1616258052814;0.1849680004119873;0.0;1;195;0;2021;9;27;19;58;20;0;2021;20;27;19;48;21;0
12500009911582;1616258052814;0.1849680004119873;0.0;1;102;0;2021;10;27;8;56;21;0;2021;21;27;8;26;32;0
12500009911583;1616258052814;0.1849680004119873;0.0;1;99;0;2021;11;12;19;27;10;0;2021;10;12;19;35;25;0
12500009256467;1616258052821;0.1849680004119873;0.0;1;96;0;2021;9;27;22;21;26;0;2021;26;27;22;25;51;0
-12500009212757;1616258052845;0.1849680004119873;0.0;1;5;0;2021;8;12;2;6;28;0;2021;28;12;2;3;41;0
-12500009176974;1616258052849;0.1849680004119873;0.0;1;30;0;2021;9;16;3;26;52;0;2021;52;16;3;38;53;0
-12500009318939;1616258052851;0.1849680004119873;0.0;1;60;0;2021;1;24;22;51;32;0;2021;32;24;22;22;41;0
12500009250857;1616258052851;0.1849680004119873;0.0;1;83;0;2021;9;15;15;32;45;0;2021;45;15;15;56;49;0
12500009168914;1616258052851;0.1849680004119873;0.0;1;79;0;2021;11;25;1;5;53;0;2021;53;25;1;51;55;0
12500009949037;1616258052851;0.1849680004119873;0.0;1;161;0;2021;3;21;19;24;43;0;2021;43;21;19;19;44;0
12500010101574;1616258052857;0.1849680004119873;0.0;1;2;0;2021;6;8;13;46;6;0;2021;6;8;13;27;33;0
12500009616523;1616258052857;0.1849680004119873;0.0;1;119;0;2021;6;10;6;4;13;0;2021;13;10;6;17;36;0
12500009636046;1616258052858;0.1849680004119873;0.0;1;122;0;2021;8;19;12;45;57;0;2021;57;19;12;12;57;0
12500009691026;1616258052858;0.1849680004119873;0.0;1;64;0;2021;11;22;18;13;8;0;2021;8;22;18;39;51;0
12500009955437;1616258052858;0.1849680004119873;0.0;1;168;0;2021;4;12;18;26;25;0;2021;25;12;18;32;49;0
12500009823000;1616258052859;0.1849680004119873;0.0;1;67;0;2021;9;10;21;5;52;0;2021;52;10;21;44;53;0
12500009904191;1616258052860;0.1849680004119873;0.0;1;47;0;2021;6;4;2;43;2;0;2021;2;4;2;26;50;0
12500009635380;1616258052860;0.1849680004119873;0.0;1;41;0;2021;6;17;9;35;42;0;2021;42;17;9;49;42;0
12500009897589;1616258052860;0.1849680004119873;0.0;1;145;0;2021;8;12;17;35;31;0;2021;31;12;17;32;33;0
12500009269634;1616258052862;0.1849680004119873;0.0;1;178;0;2021;5;17;11;14;35;0;2021;35;17;11;14;39;0
12500009479757;1616258052862;0.1849680004119873;0.0;1;72;0;2021;4;24;4;19;35;0;2021;35;24;4;52;56;0
12500009572847;1616258052863;0.1849680004119873;0.0;1;89;0;2021;2;19;17;26;7;0;2021;7;19;17;55;26;0
12500009572849;1616258052863;0.1849680004119873;0.0;1;79;0;2021;6;8;0;46;50;0;2021;50;8;0;38;53;0
12500009368827;1616258052865;0.1849680004119873;0.0;1;147;0;2021;9;7;2;20;21;0;2021;21;7;2;46;40;0
12500009483007;1616258052865;0.1849680004119873;0.0;1;104;0;2021;4;8;4;54;28;0;2021;28;8;4;45;53;0
12500009176971;1616258052865;0.1849680004119873;0.0;1;119;0;2021;9;3;16;55;27;0;2021;27;3;16;32;48;0
12500009720787;1616258052865;0.1849680004119873;0.0;1;118;0;2021;11;18;5;16;40;0;2021;40;18;5;29;53;0
12500009490902;1616258052866;0.1849680004119873;0.0;1;17;0;2021;4;22;18;6;4;0;2021;4;22;18;19;27;0
-12500009592901;1616258052867;0.1849680004119873;0.0;1;194;0;2021;6;12;5;7;8;0;2021;8;12;5;26;53;0
-12500009494315;1616258052868;0.1849680004119873;0.0;1;28;0;2021;4;23;6;42;5;0;2021;5;23;6;29;31;0
-12500009477851;1616258052868;0.1849680004119873;0.0;1;59;0;2021;4;18;21;23;33;0;2021;33;18;21;55;40;0
-12500009580348;1616258052868;0.1849680004119873;0.0;1;24;0;2021;8;21;19;33;16;0;2021;16;21;19;36;32;0
-12500009955434;1616258052868;0.1849680004119873;0.0;1;5;0;2021;3;23;16;37;56;0;2021;56;23;16;48;57;0
12500009277353;1616258052868;0.1849680004119873;0.0;1;3;0;2021;11;17;3;15;18;0;2021;18;17;3;26;41;0
12500009368823;1616258052868;0.1849680004119873;0.0;1;49;0;2021;1;26;22;39;12;0;2021;12;26;22;37;53;0
12500009368826;1616258052868;0.1849680004119873;0.0;1;144;0;2021;8;12;22;37;29;0;2021;29;12;22;36;33;0
12500009368825;1616258052868;0.1849680004119873;0.0;1;73;0;2021;7;3;1;48;13;0;2021;13;3;1;53;13;0
-12500009176973;1616258052869;0.1849680004119873;0.0;1;97;0;2021;7;8;4;10;54;0;2021;54;8;4;33;57;0
12500009233674;1616258052870;0.1849680004119873;0.0;1;141;0;2021;3;8;4;42;16;0;2021;16;8;4;23;31;0
12500009368820;1616258052870;0.1849680004119873;0.0;1;58;0;2021;8;22;6;15;50;0;2021;50;22;6;6;56;0
12500009062318;1616258052870;0.1849680004119873;0.0;1;160;0;2021;2;8;17;16;15;0;2021;15;8;17;33;21;0
12500009368819;1616258052870;0.1849680004119873;0.0;1;149;0;2021;2;7;15;56;46;0;2021;46;7;15;30;49;0
12500009742508;1616258052870;0.1849680004119873;0.0;1;151;0;2021;8;9;22;5;43;0;2021;43;9;22;27;50;0
-12500009494316;1616258052871;0.1849680004119873;0.0;1;31;0;2021;3;21;4;51;42;0;2021;42;21;4;29;44;0
-12500009176972;1616258052871;0.1849680004119873;0.0;1;74;0;2021;6;26;19;37;5;0;2021;5;26;19;22;52;0
12500009391940;1616258052871;0.1849680004119873;0.0;1;13;0;2021;9;15;7;6;27;0;2021;27;15;7;25;42;0
12500009436688;1616258052871;0.1849680004119873;0.0;1;122;0;2021;7;10;10;10;50;0;2021;50;10;10;29;58;0
12500009368822;1616258052872;0.1849680004119873;0.0;1;6;0;2021;1;12;3;29;8;0;2021;8;12;3;26;14;0
12500009269632;1616258052873;0.1849680004119873;0.0;1;122;0;2021;8;12;8;1;50;0;2021;50;12;8;36;57;0
12500009269633;1616258052873;0.1849680004119873;0.0;1;6;0;2021;11;15;17;13;43;0;2021;43;15;17;45;49;0
12500009520088;1616258052875;0.1849680004119873;0.0;1;42;0;2021;2;7;13;51;46;0;2021;46;7;13;51;48;0
12500009572848;1616258052875;0.1849680004119873;0.0;1;77;0;2021;9;24;1;50;16;0;2021;16;24;1;25;31;0
12500009368821;1616258052877;0.1849680004119873;0.0;1;107;0;2021;4;27;7;23;28;0;2021;28;27;7;49;52;0
12500010064161;1616258052877;0.1849680004119873;0.0;1;9;0;2021;4;18;11;43;55;0;2021;55;18;11;23;56;0
12500009176304;1616258052877;0.1849680004119873;0.0;1;53;0;2021;2;9;12;38;13;0;2021;13;9;12;33;33;0
12500009616524;1616258052887;0.1849680004119873;0.0;1;181;0;2021;3;10;22;51;28;0;2021;28;10;22;49;34;0
12500009592900;1616258052887;0.1849680004119873;0.0;1;63;0;2021;9;23;4;50;37;0;2021;37;23;4;25;54;0
12500009835364;1616258052892;0.1849680004119873;0.0;1;60;0;2021;5;27;17;45;20;0;2021;20;27;17;36;56;0
12500009425539;1616258052893;0.1849680004119873;0.0;1;74;0;2021;4;18;17;52;8;0;2021;8;18;17;17;49;0
12500009484235;1616258052894;0.1849680004119873;0.0;1;116;0;2021;10;6;16;32;2;0;2021;2;6;16;19;29;0
12500009484236;1616258052894;0.1849680004119873;0.0;1;15;0;2021;11;20;20;9;57;0;2021;57;20;20;52;57;0
-12500009382677;1616258052903;0.1849680004119873;0.0;1;14;0;2021;10;9;17;35;17;0;2021;17;9;17;50;30;0
-12500009508792;1616258052906;0.1849680004119873;0.0;1;30;0;2021;10;24;19;35;45;0;2021;45;24;19;37;57;0
12500010085750;1616258052913;0.1849680004119873;0.0;1;41;0;2021;2;6;13;49;29;0;2021;29;6;13;53;53;0
12500009635379;1616258052914;0.1849680004119873;0.0;1;1;0;2021;2;15;8;27;0;0;2021;0;15;8;13;49;0
12500009233675;1616258052918;0.1849680004119873;0.0;1;187;0;2021;2;26;2;17;5;0;2021;5;26;2;36;30;0
12500009153989;1616258052918;0.1849680004119873;0.0;1;42;0;2021;5;18;15;20;29;0;2021;29;18;15;54;32;0
12500009368824;1616258052919;0.1849680004119873;0.0;1;124;0;2021;5;7;19;38;6;0;2021;6;7;19;41;54;0
12500009610483;1616258052922;0.1849680004119873;0.0;1;186;0;2021;9;20;15;54;58;0;2021;58;20;15;32;58;0
-12500009212756;1616258052926;0.1849680004119873;0.0;1;25;0;2021;4;18;7;24;16;0;2021;16;18;7;47;44;0
-12500009484237;1616258052928;0.1849680004119873;0.0;1;54;0;2021;9;13;19;55;9;0;2021;9;13;19;28;37;0
-12500009520087;1616258052928;0.1849680004119873;0.0;1;95;0;2021;8;20;16;28;29;0;2021;29;20;16;39;39;0
-12500009555056;1616258052929;0.1849680004119873;0.0;1;64;0;2021;1;16;17;43;31;0;2021;31;16;17;21;38;0
-12500009555055;1616258052930;0.1849680004119873;0.0;1;129;0;2021;3;1;4;40;11;0;2021;11;1;4;26;19;0
-12500009868963;1616258052930;0.1849680004119873;0.0;1;162;0;2021;9;9;21;39;38;0;2021;38;9;21;25;40;0
-12500009875414;1616258052931;0.1849680004119873;0.0;1;80;0;2021;9;13;3;31;19;0;2021;19;13;3;47;42;0
-12500009955436;1616258052931;0.1849680004119873;0.0;1;41;0;2021;2;14;5;25;18;0;2021;18;14;5;15;44;0
-12500009955435;1616258052931;0.1849680004119873;0.0;1;187;0;2021;4;6;4;47;32;0;2021;32;6;4;4;47;0
-12500009997467;1616258052938;0.1849680004119873;0.0;1;50;0;2021;1;13;10;38;16;0;2021;16;13;10;40;24;0
12500009878975;1616258052946;0.1849680004119873;0.0;1;176;0;2021;5;21;13;52;48;0;2021;48;21;13;33;54;0
-12500009878975;1616258052946;0.1849680004119873;0.0;1;155;0;2021;3;18;0;44;5;0;2021;5;18;0;23;46;0
12500009812747;1616258052955;0.1849680004119873;0.0;1;143;0;2021;10;21;17;15;5;0;2021;5;21;17;49;42;0
12500009097271;1616258052956;0.1849680004119873;0.0;1;164;0;2021;5;12;10;16;29;0;2021;29;12;10;41;49;0
12500009376972;1616258052957;0.1849680004119873;0.0;1;96;0;2021;8;3;19;19;22;0;2021;22;3;19;30;27;0
-12500009628937;1616258052963;0.1849680004119873;0.0;1;35;0;2021;7;18;10;58;25;0;2021;25;18;10;39;46;0
-12500009628940;1616258052963;0.1849680004119873;0.0;1;29;0;2021;4;21;21;56;19;0;2021;19;21;21;34;32;0
-12500009635378;1616258052963;0.1849680004119873;0.0;1;145;0;2021;1;2;22;46;8;0;2021;8;2;22;32;56;0
-12500009206024;1616258052964;0.1849680004119873;0.0;1;104;0;2021;5;22;17;32;0;0;2021;0;22;17;38;29;0
-12500009206025;1616258052964;0.1849680004119873;0.0;1;198;0;2021;9;23;15;39;8;0;2021;8;23;15;30;40;0
