linkId;timestamp;avgTravelTime;sdTravelTime;numVehicles;aggPeriod.seconds;aggPeriod.nanos;startTime.date.year;startTime.date.month;startTime.date.day;startTime.time.hour;startTime.time.minute;startTime.time.second;startTime.time.nano;endTime.date.year;endTime.date.month;endTime.date.day;endTime.time.hour;endTime.time.minute;endTime.time.second;endTime.time.nano
-12500010147497;1616258052745;0.1849680004119873;0.0;1;119;0;2021;9;10;18;17;7;0;2021;7;10;18;20;51;0
-12500009680626;1616258052766;0.1849680004119873;0.0;1;147;0;2021;1;14;6;22;1;0;2021;1;14;6;41;7;0
-12500009625800;1616258052767;0.1849680004119873;0.0;1;62;0;2021;2;13;9;11;5;0;2021;5;13;9;19;21;0
-12500009625801;1616258052768;0.1849680004119873;0.0;1;177;0;2021;5;27;16;35;52;0;2021;52;27;16;24;52;0
-12500009625799;1616258052769;0.1849680004119873;0.0;1;56;0;2021;1;12;21;12;18;0;2021;18;12;21;23;21;0
-12500009489774;1616258052777;0.1849680004119873;0.0;1;23;0;2021;1;3;9;19;44;0;2021;44;3;9;39;53;0
-12500009467824;1616258052780;0.1849680004119873;0.0;1;140;0;2021;7;19;6;36;8;0;2021;8;19;6;43;49;0
-12500009432997;1616258052786;0.1849680004119873;0.0;1;74;0;2021;3;24;22;14;38;0;2021;38;24;22;25;49;0
-12500009430805;1616258052786;0.1849680004119873;0.0;1;184;0;2021;11;2;10;58;55;0;2021;55;2;10;25;56;0
-12500009342163;1616258052790;0.1849680004119873;0.0;1;108;0;2021;1;24;3;48;30;0;2021;30;24;3;54;58;0
-12500009250636;1616258052793;0.1849680004119873;0.0;1;94;0;2021;1;23;5;13;39;0;2021;39;23;5;44;54;0
-12500009250635;1616258052793;0.1849680004119873;0.0;1;15;0;2021;2;11;6;36;50;0;2021;50;11;6;50;56;0
-12500009250633;1616258052793;0.1849680004119873;0.0;1;6;0;2021;9;10;18;35;2;0;2021;2;10;18;20;11;0
12500009175709;1616258052818;0.1849680004119873;0.0;1;92;0;2021;8;12;17;55;36;0;2021;36;12;17;17;37;0
12500009319817;1616258052820;0.1849680004119873;0.0;1;68;0;2021;8;7;19;8;25;0;2021;25;7;19;51;29;0
12500009319818;1616258052820;0.1849680004119873;0.0;1;168;0;2021;4;5;7;5;49;0;2021;49;5;7;40;55;0
12500009250631;1616258052820;0.1849680004119873;0.0;1;30;0;2021;2;6;7;10;54;0;2021;54;6;7;22;57;0
12500009250630;1616258052820;0.1849680004119873;0.0;1;114;0;2021;9;3;10;48;33;0;2021;33;3;10;26;53;0
12500009250632;1616258052821;0.1849680004119873;0.0;1;55;0;2021;4;17;0;35;53;0;2021;53;17;0;47;56;0
12500009250634;1616258052821;0.1849680004119873;0.0;1;172;0;2021;4;11;22;44;52;0;2021;52;11;22;27;56;0
12500009319822;1616258052823;0.1849680004119873;0.0;1;170;0;2021;3;25;12;12;29;0;2021;29;25;12;56;44;0
12500009319821;1616258052823;0.1849680004119873;0.0;1;46;0;2021;9;9;10;10;35;0;2021;35;9;10;45;42;0
12500009319820;1616258052823;0.1849680004119873;0.0;1;166;0;2021;5;1;7;41;16;0;2021;16;1;7;53;41;0
12500009319819;1616258052823;0.1849680004119873;0.0;1;145;0;2021;7;26;17;34;8;0;2021;8;26;17;24;43;0
12500009319815;1616258052823;0.1849680004119873;0.0;1;39;0;2021;9;6;9;32;8;0;2021;8;6;9;11;18;0
12500009319816;1616258052823;0.1849680004119873;0.0;1;4;0;2021;2;21;8;55;17;0;2021;17;21;8;40;39;0
12500009319824;1616258052823;0.1849680004119873;0.0;1;12;0;2021;3;25;12;44;16;0;2021;16;25;12;16;45;0
12500009319823;1616258052823;0.1849680004119873;0.0;1;8;0;2021;3;11;2;3;55;0;2021;55;11;2;28;57;0
12500009319825;1616258052823;0.1849680004119873;0.0;1;30;0;2021;3;7;1;54;52;0;2021;52;7;1;34;54;0
12500009319826;1616258052823;0.1849680004119873;0.0;1;53;0;2021;11;11;10;46;20;0;2021;20;11;10;39;54;0
12500009467825;1616258052826;0.1849680004119873;0.0;1;45;0;2021;11;13;20;58;51;0;2021;51;13;20;48;57;0
12500009481730;1616258052826;0.1849680004119873;0.0;1;153;0;2021;9;25;22;51;47;0;2021;47;25;22;50;48;0
12500009481731;1616258052826;0.1849680004119873;0.0;1;193;0;2021;4;18;10;16;56;0;2021;56;18;10;11;57;0
12500009489775;1616258052827;0.1849680004119873;0.0;1;200;0;2021;3;12;7;16;43;0;2021;43;12;7;25;53;0
12500009539466;1616258052828;0.1849680004119873;0.0;1;186;0;2021;5;24;12;6;40;0;2021;40;24;12;41;53;0
12500009551532;1616258052829;0.1849680004119873;0.0;1;79;0;2021;5;24;15;6;55;0;2021;55;24;15;21;55;0
12500009625796;1616258052832;0.1849680004119873;0.0;1;47;0;2021;6;12;4;2;20;0;2021;20;12;4;4;45;0
12500009625797;1616258052832;0.1849680004119873;0.0;1;130;0;2021;11;16;17;45;53;0;2021;53;16;17;25;54;0
12500009625798;1616258052832;0.1849680004119873;0.0;1;24;0;2021;7;6;21;46;23;0;2021;23;6;21;24;51;0
12500009680627;1616258052834;0.1849680004119873;0.0;1;18;0;2021;9;4;15;35;22;0;2021;22;4;15;25;36;0
12500009741263;1616258052835;0.1849680004119873;0.0;1;54;0;2021;9;12;9;54;16;0;2021;16;12;9;31;44;0
12500009741262;1616258052835;0.1849680004119873;0.0;1;190;0;2021;6;3;14;25;54;0;2021;54;3;14;52;56;0
12500009741261;1616258052835;0.1849680004119873;0.0;1;43;0;2021;5;1;19;39;25;0;2021;25;1;19;23;40;0
12500009820505;1616258052836;0.1849680004119873;0.0;1;152;0;2021;10;11;1;16;18;0;2021;18;11;1;24;58;0
12500009831686;1616258052837;0.1849680004119873;0.0;1;173;0;2021;4;9;14;54;47;0;2021;47;9;14;40;56;0
12500009949371;1616258052839;0.1849680004119873;0.0;1;89;0;2021;6;5;2;3;6;0;2021;6;5;2;20;10;0
12500009987072;1616258052839;0.1849680004119873;0.0;1;67;0;2021;6;4;11;41;12;0;2021;12;4;11;24;18;0
12500010115005;1616258052840;0.1849680004119873;0.0;1;119;0;2021;9;3;2;38;2;0;2021;2;3;2;41;6;0
-12500009353916;1616258052845;0.1849680004119873;0.0;1;176;0;2021;6;21;3;0;57;0;2021;57;21;3;19;57;0
-12500009353915;1616258052845;0.1849680004119873;0.0;1;197;0;2021;5;25;11;27;37;0;2021;37;25;11;39;40;0
-12500009848689;1616258052847;0.1849680004119873;0.0;1;20;0;2021;5;16;19;35;32;0;2021;32;16;19;22;56;0
-12500009108020;1616258052847;0.1849680004119873;0.0;1;63;0;2021;8;18;20;49;12;0;2021;12;18;20;50;14;0
-12500009853022;1616258052847;0.1849680004119873;0.0;1;55;0;2021;3;22;14;45;54;0;2021;54;22;14;54;54;0
-12500010036956;1616258052847;0.1849680004119873;0.0;1;180;0;2021;7;20;3;34;9;0;2021;9;20;3;5;45;0
-12500009477568;1616258052852;0.1849680004119873;0.0;1;97;0;2021;6;11;18;17;48;0;2021;48;11;18;55;57;0
-12500009752175;1616258052864;0.1849680004119873;0.0;1;55;0;2021;6;14;1;13;25;0;2021;25;14;1;17;52;0
-12500009285000;1616258052864;0.1849680004119873;0.0;1;2;0;2021;9;21;12;13;50;0;2021;50;21;12;56;54;0
-12500009897926;1616258052867;0.1849680004119873;0.0;1;86;0;2021;8;9;16;35;37;0;2021;37;9;16;57;37;0
-12500009943314;1616258052867;0.1849680004119873;0.0;1;86;0;2021;10;2;14;29;31;0;2021;31;2;14;31;50;0
-12500009916478;1616258052867;0.1849680004119873;0.0;1;105;0;2021;10;14;1;48;39;0;2021;39;14;1;38;51;0
-12500009963324;1616258052867;0.1849680004119873;0.0;1;39;0;2021;5;10;9;23;19;0;2021;19;10;9;53;27;0
-12500009315192;1616258052867;0.1849680004119873;0.0;1;182;0;2021;3;7;1;24;39;0;2021;39;7;1;27;51;0
-12500009404312;1616258052867;0.1849680004119873;0.0;1;124;0;2021;2;10;4;21;46;0;2021;46;10;4;22;50;0
-12500009492245;1616258052868;0.1849680004119873;0.0;1;162;0;2021;6;10;8;55;41;0;2021;41;10;8;30;57;0
-12500009753302;1616258052871;0.1849680004119873;0.0;1;196;0;2021;2;6;12;47;19;0;2021;19;6;12;37;53;0
12500009753300;1616258052871;0.1849680004119873;0.0;1;167;0;2021;1;9;0;45;7;0;2021;7;9;0;49;10;0
-12500009737499;1616258052871;0.1849680004119873;0.0;1;157;0;2021;1;1;13;41;21;0;2021;21;1;13;40;38;0
12500009853022;1616258052872;0.1849680004119873;0.0;1;171;0;2021;3;25;1;46;53;0;2021;53;25;1;11;55;0
12500009897926;1616258052872;0.1849680004119873;0.0;1;36;0;2021;4;10;1;23;21;0;2021;21;10;1;48;39;0
-12500009901233;1616258052872;0.1849680004119873;0.0;1;111;0;2021;3;26;14;12;19;0;2021;19;26;14;56;25;0
-12500009362795;1616258052872;0.1849680004119873;0.0;1;68;0;2021;3;24;22;52;16;0;2021;16;24;22;35;33;0
12500009440661;1616258052874;0.1849680004119873;0.0;1;119;0;2021;11;1;15;8;50;0;2021;50;1;15;25;57;0
12500009458480;1616258052874;0.1849680004119873;0.0;1;92;0;2021;11;1;10;48;31;0;2021;31;1;10;27;36;0
12500009586729;1616258052875;0.1849680004119873;0.0;1;30;0;2021;6;8;0;49;40;0;2021;40;8;0;57;43;0
12500009195113;1616258052876;0.1849680004119873;0.0;1;150;0;2021;4;21;22;58;5;0;2021;5;21;22;41;19;0
12500009178274;1616258052876;0.1849680004119873;0.0;1;57;0;2021;5;15;17;52;8;0;2021;8;15;17;34;38;0
12500009901233;1616258052876;0.1849680004119873;0.0;1;160;0;2021;9;12;8;6;35;0;2021;35;12;8;38;35;0
12500009361420;1616258052876;0.1849680004119873;0.0;1;126;0;2021;1;22;0;45;53;0;2021;53;22;0;15;54;0
12500009362795;1616258052876;0.1849680004119873;0.0;1;104;0;2021;10;11;18;16;30;0;2021;30;11;18;31;51;0
12500009737499;1616258052876;0.1849680004119873;0.0;1;43;0;2021;7;13;10;3;0;0;2021;0;13;10;31;7;0
12500009072138;1616258052877;0.1849680004119873;0.0;1;142;0;2021;1;20;20;39;46;0;2021;46;20;20;26;49;0
12500009284999;1616258052879;0.1849680004119873;0.0;1;54;0;2021;5;6;8;17;34;0;2021;34;6;8;44;37;0
12500009156907;1616258052881;0.1849680004119873;0.0;1;146;0;2021;4;16;14;42;54;0;2021;54;16;14;28;58;0
12500009752174;1616258052881;0.1849680004119873;0.0;1;108;0;2021;2;14;19;51;2;0;2021;2;14;19;33;13;0
12500009192862;1616258052881;0.1849680004119873;0.0;1;134;0;2021;5;23;18;12;0;0;2021;0;23;18;47;46;0
12500009158297;1616258052881;0.1849680004119873;0.0;1;166;0;2021;2;12;9;53;53;0;2021;53;12;9;58;54;0
12500009590052;1616258052882;0.1849680004119873;0.0;1;9;0;2021;11;15;7;39;48;0;2021;48;15;7;53;54;0
12500009399658;1616258052883;0.1849680004119873;0.0;1;10;0;2021;4;20;20;5;24;0;2021;24;20;20;34;38;0
12500009285001;1616258052883;0.1849680004119873;0.0;1;153;0;2021;3;27;4;50;32;0;2021;32;27;4;5;49;0
12500009477568;1616258052884;0.1849680004119873;0.0;1;117;0;2021;11;26;11;16;53;0;2021;53;26;11;57;57;0
12500009196617;1616258052885;0.1849680004119873;0.0;1;88;0;2021;2;12;9;54;36;0;2021;36;12;9;12;43;0
12500009753302;1616258052885;0.1849680004119873;0.0;1;91;0;2021;7;15;11;25;54;0;2021;54;15;11;42;54;0
12500010036956;1616258052886;0.1849680004119873;0.0;1;168;0;2021;1;21;4;5;48;0;2021;48;21;4;47;49;0
12500009108020;1616258052886;0.1849680004119873;0.0;1;161;0;2021;10;19;9;53;52;0;2021;52;19;9;58;57;0
-12500009753300;1616258052888;0.1849680004119873;0.0;1;79;0;2021;3;12;7;20;51;0;2021;51;12;7;13;52;0
12500009853023;1616258052888;0.1849680004119873;0.0;1;142;0;2021;6;23;16;29;17;0;2021;17;23;16;33;54;0
-12500009853023;1616258052888;0.1849680004119873;0.0;1;49;0;2021;1;4;18;9;29;0;2021;29;4;18;35;56;0
12500009835912;1616258052888;0.1849680004119873;0.0;1;161;0;2021;7;12;19;24;25;0;2021;25;12;19;29;51;0
12500009463256;1616258052888;0.1849680004119873;0.0;1;94;0;2021;1;12;0;51;12;0;2021;12;12;0;56;20;0
12500009302921;1616258052893;0.1849680004119873;0.0;1;32;0;2021;11;17;18;54;24;0;2021;24;17;18;29;33;0
