linkId;timestamp;avgTravelTime;sdTravelTime;numVehicles;aggPeriod.seconds;aggPeriod.nanos;startTime.date.year;startTime.date.month;startTime.date.day;startTime.time.hour;startTime.time.minute;startTime.time.second;startTime.time.nano;endTime.date.year;endTime.date.month;endTime.date.day;endTime.time.hour;endTime.time.minute;endTime.time.second;endTime.time.nano
-12500009467793;1616258052782;0.1849680004119873;0.0;1;44;0;2021;4;6;19;24;23;0;2021;23;6;19;19;30;0
-12500009277351;1616258052792;0.1849680004119873;0.0;1;83;0;2021;5;9;17;8;31;0;2021;31;9;17;36;55;0
-12500009267740;1616258052793;0.1849680004119873;0.0;1;181;0;2021;2;14;9;45;23;0;2021;23;14;9;58;35;0
12500009218734;1616258052820;0.1849680004119873;0.0;1;138;0;2021;7;24;7;17;27;0;2021;27;24;7;10;55;0
12500009920333;1616258052839;0.1849680004119873;0.0;1;177;0;2021;10;23;5;55;16;0;2021;16;23;5;51;36;0
-12500009159631;1616258052846;0.1849680004119873;0.0;1;168;0;2021;4;15;15;20;44;0;2021;44;15;15;49;58;0
-12500009584133;1616258052846;0.1849680004119873;0.0;1;117;0;2021;9;27;18;33;56;0;2021;56;27;18;18;57;0
-12500009483787;1616258052846;0.1849680004119873;0.0;1;38;0;2021;1;22;0;53;40;0;2021;40;22;0;21;40;0
-12500009584124;1616258052846;0.1849680004119873;0.0;1;3;0;2021;8;1;8;35;14;0;2021;14;1;8;53;19;0
-12500009584123;1616258052846;0.1849680004119873;0.0;1;6;0;2021;8;11;7;2;36;0;2021;36;11;7;58;37;0
-12500009584140;1616258052846;0.1849680004119873;0.0;1;11;0;2021;9;5;2;51;15;0;2021;15;5;2;50;35;0
-12500009121423;1616258052847;0.1849680004119873;0.0;1;174;0;2021;7;9;22;3;15;0;2021;15;9;22;37;31;0
-12500009227679;1616258052847;0.1849680004119873;0.0;1;2;0;2021;4;10;22;32;52;0;2021;52;10;22;29;57;0
-12500009227680;1616258052847;0.1849680004119873;0.0;1;121;0;2021;4;26;11;0;57;0;2021;57;26;11;15;58;0
-12500009258604;1616258052854;0.1849680004119873;0.0;1;128;0;2021;4;20;6;24;36;0;2021;36;20;6;38;49;0
12500009259539;1616258052855;0.1849680004119873;0.0;1;142;0;2021;5;7;22;13;33;0;2021;33;7;22;53;56;0
-12500009259539;1616258052855;0.1849680004119873;0.0;1;7;0;2021;10;10;22;8;54;0;2021;54;10;22;23;54;0
-12500009505738;1616258052856;0.1849680004119873;0.0;1;171;0;2021;5;18;0;44;23;0;2021;23;18;0;37;56;0
-12500009199251;1616258052856;0.1849680004119873;0.0;1;83;0;2021;1;13;11;25;12;0;2021;12;13;11;13;12;0
-12500009157246;1616258052867;0.1849680004119873;0.0;1;145;0;2021;1;27;18;20;5;0;2021;5;27;18;34;11;0
12500009248483;1616258052873;0.1849680004119873;0.0;1;63;0;2021;5;27;16;34;56;0;2021;56;27;16;48;57;0
-12500009175684;1616258052875;0.1849680004119873;0.0;1;140;0;2021;5;26;7;47;29;0;2021;29;26;7;57;55;0
12500009584125;1616258052875;0.1849680004119873;0.0;1;15;0;2021;11;26;8;33;48;0;2021;48;26;8;19;54;0
-12500009090626;1616258052878;0.1849680004119873;0.0;1;28;0;2021;1;20;22;15;27;0;2021;27;20;22;38;41;0
-12500009141814;1616258052879;0.1849680004119873;0.0;1;68;0;2021;7;6;12;30;8;0;2021;8;6;12;15;9;0
12500009771877;1616258052883;0.1849680004119873;0.0;1;31;0;2021;3;18;11;16;35;0;2021;35;18;11;25;56;0
12500009199251;1616258052888;0.1849680004119873;0.0;1;108;0;2021;6;23;15;44;27;0;2021;27;23;15;25;47;0
12500009584141;1616258052888;0.1849680004119873;0.0;1;162;0;2021;11;18;17;47;37;0;2021;37;18;17;53;55;0
12500009584119;1616258052892;0.1849680004119873;0.0;1;143;0;2021;4;24;10;3;27;0;2021;27;24;10;37;45;0
12500009379140;1616258052893;0.1849680004119873;0.0;1;28;0;2021;3;12;18;44;54;0;2021;54;12;18;35;57;0
12500009101471;1616258052893;0.1849680004119873;0.0;1;132;0;2021;8;7;9;32;13;0;2021;13;7;9;56;24;0
12500009157246;1616258052894;0.1849680004119873;0.0;1;141;0;2021;7;9;0;5;28;0;2021;28;9;0;11;33;0
12500009584126;1616258052896;0.1849680004119873;0.0;1;84;0;2021;10;26;8;55;29;0;2021;29;26;8;10;45;0
12500009584133;1616258052896;0.1849680004119873;0.0;1;4;0;2021;6;6;5;38;49;0;2021;49;6;5;32;52;0
12500009584123;1616258052896;0.1849680004119873;0.0;1;88;0;2021;9;14;6;13;8;0;2021;8;14;6;38;36;0
12500009584124;1616258052897;0.1849680004119873;0.0;1;124;0;2021;8;25;18;25;56;0;2021;56;25;18;57;56;0
12500009159631;1616258052897;0.1849680004119873;0.0;1;46;0;2021;9;16;8;1;9;0;2021;9;16;8;15;53;0
12500009121423;1616258052898;0.1849680004119873;0.0;1;160;0;2021;8;10;8;23;30;0;2021;30;10;8;57;36;0
-12500009121881;1616258052900;0.1849680004119873;0.0;1;92;0;2021;2;24;6;1;48;0;2021;48;24;6;35;52;0
12500009121881;1616258052900;0.1849680004119873;0.0;1;12;0;2021;3;14;9;48;1;0;2021;1;14;9;45;45;0
-12500009323522;1616258052901;0.1849680004119873;0.0;1;53;0;2021;2;22;5;0;10;0;2021;10;22;5;37;39;0
-12500009457810;1616258052902;0.1849680004119873;0.0;1;190;0;2021;4;18;15;55;10;0;2021;10;18;15;44;58;0
12500009457810;1616258052902;0.1849680004119873;0.0;1;96;0;2021;3;26;1;19;38;0;2021;38;26;1;46;53;0
-12500009546563;1616258052902;0.1849680004119873;0.0;1;135;0;2021;9;18;10;36;16;0;2021;16;18;10;54;54;0
12500009546563;1616258052902;0.1849680004119873;0.0;1;56;0;2021;11;23;10;0;7;0;2021;7;23;10;31;45;0
12500009584139;1616258052902;0.1849680004119873;0.0;1;187;0;2021;7;23;22;52;24;0;2021;24;23;22;34;47;0
-12500009584139;1616258052902;0.1849680004119873;0.0;1;66;0;2021;3;24;17;37;26;0;2021;26;24;17;20;39;0
12500009141814;1616258052910;0.1849680004119873;0.0;1;22;0;2021;8;25;11;35;40;0;2021;40;25;11;39;43;0
-12500009175337;1616258052911;0.1849680004119873;0.0;1;62;0;2021;4;4;21;55;31;0;2021;31;4;21;40;57;0
12500009202046;1616258052912;0.1849680004119873;0.0;1;1;0;2021;1;4;10;19;49;0;2021;49;4;10;25;55;0
12500009483787;1616258052915;0.1849680004119873;0.0;1;191;0;2021;5;2;9;6;27;0;2021;27;2;9;57;42;0
12500009584121;1616258052917;0.1849680004119873;0.0;1;53;0;2021;7;2;8;41;24;0;2021;24;2;8;44;45;0
-12500009584119;1616258052917;0.1849680004119873;0.0;1;155;0;2021;9;10;2;58;41;0;2021;41;10;2;57;41;0
-12500009584120;1616258052917;0.1849680004119873;0.0;1;80;0;2021;11;19;5;46;52;0;2021;52;19;5;49;57;0
-12500009584121;1616258052917;0.1849680004119873;0.0;1;49;0;2021;8;16;15;45;14;0;2021;14;16;15;25;35;0
12500009584120;1616258052917;0.1849680004119873;0.0;1;118;0;2021;5;18;21;43;10;0;2021;10;18;21;58;28;0
12500009584135;1616258052917;0.1849680004119873;0.0;1;77;0;2021;9;25;2;29;20;0;2021;20;25;2;9;50;0
-12500009584135;1616258052917;0.1849680004119873;0.0;1;83;0;2021;2;5;5;4;9;0;2021;9;5;5;54;39;0
12500009175684;1616258052920;0.1849680004119873;0.0;1;99;0;2021;3;19;9;2;9;0;2021;9;19;9;33;20;0
12500009258604;1616258052921;0.1849680004119873;0.0;1;57;0;2021;11;17;9;15;50;0;2021;50;17;9;16;53;0
12500009261050;1616258052921;0.1849680004119873;0.0;1;145;0;2021;6;5;7;29;52;0;2021;52;5;7;9;57;0
-12500009261050;1616258052921;0.1849680004119873;0.0;1;135;0;2021;6;13;14;30;14;0;2021;14;13;14;45;48;0
-12500009379140;1616258052921;0.1849680004119873;0.0;1;46;0;2021;1;14;7;37;30;0;2021;30;14;7;30;41;0
12500009505738;1616258052923;0.1849680004119873;0.0;1;2;0;2021;4;3;16;20;30;0;2021;30;3;16;24;38;0
12500009584140;1616258052923;0.1849680004119873;0.0;1;44;0;2021;2;2;2;7;21;0;2021;21;2;2;33;31;0
12500009584138;1616258052923;0.1849680004119873;0.0;1;19;0;2021;5;22;15;48;50;0;2021;50;22;15;46;54;0
-12500009584138;1616258052923;0.1849680004119873;0.0;1;144;0;2021;10;5;21;40;19;0;2021;19;5;21;42;23;0
-12500009584141;1616258052923;0.1849680004119873;0.0;1;97;0;2021;8;5;8;49;55;0;2021;55;5;8;44;58;0
12500009090626;1616258052932;0.1849680004119873;0.0;1;52;0;2021;5;22;17;9;4;0;2021;4;22;17;40;32;0
-12500009101471;1616258052932;0.1849680004119873;0.0;1;15;0;2021;8;9;5;9;1;0;2021;1;9;5;43;7;0
12500009175337;1616258052932;0.1849680004119873;0.0;1;17;0;2021;10;12;15;26;38;0;2021;38;12;15;18;50;0
12500009323522;1616258052933;0.1849680004119873;0.0;1;14;0;2021;6;24;18;20;21;0;2021;21;24;18;38;24;0
12500009505162;1616258052935;0.1849680004119873;0.0;1;53;0;2021;2;18;2;4;15;0;2021;15;18;2;48;56;0
-12500009505162;1616258052935;0.1849680004119873;0.0;1;73;0;2021;4;13;13;48;6;0;2021;6;13;13;56;24;0
12500009584129;1616258052937;0.1849680004119873;0.0;1;99;0;2021;1;26;13;33;22;0;2021;22;26;13;48;46;0
-12500009584129;1616258052937;0.1849680004119873;0.0;1;87;0;2021;5;19;3;34;38;0;2021;38;19;3;51;40;0
12500009584128;1616258052937;0.1849680004119873;0.0;1;147;0;2021;9;10;20;43;31;0;2021;31;10;20;29;48;0
-12500009584128;1616258052937;0.1849680004119873;0.0;1;107;0;2021;10;4;4;10;16;0;2021;16;4;4;45;22;0
-12500009584122;1616258052937;0.1849680004119873;0.0;1;36;0;2021;8;15;19;33;55;0;2021;55;15;19;49;57;0
12500009584127;1616258052937;0.1849680004119873;0.0;1;150;0;2021;4;22;7;4;19;0;2021;19;22;7;27;22;0
12500009584122;1616258052937;0.1849680004119873;0.0;1;124;0;2021;3;14;8;38;6;0;2021;6;14;8;17;31;0
-12500009584127;1616258052937;0.1849680004119873;0.0;1;137;0;2021;8;18;14;46;57;0;2021;57;18;14;55;57;0
12500009584136;1616258052937;0.1849680004119873;0.0;1;7;0;2021;8;24;20;3;3;0;2021;3;24;20;56;55;0
-12500009584131;1616258052937;0.1849680004119873;0.0;1;144;0;2021;10;1;3;3;5;0;2021;5;1;3;56;33;0
-12500009584130;1616258052937;0.1849680004119873;0.0;1;94;0;2021;4;18;6;20;49;0;2021;49;18;6;25;55;0
12500009584130;1616258052937;0.1849680004119873;0.0;1;184;0;2021;4;12;19;37;13;0;2021;13;12;19;28;40;0
-12500009584136;1616258052937;0.1849680004119873;0.0;1;86;0;2021;11;21;17;32;34;0;2021;34;21;17;22;56;0
-12500009584132;1616258052937;0.1849680004119873;0.0;1;107;0;2021;7;22;18;11;16;0;2021;16;22;18;26;32;0
12500009584131;1616258052937;0.1849680004119873;0.0;1;51;0;2021;11;10;12;10;58;0;2021;58;10;12;22;58;0
12500009584134;1616258052937;0.1849680004119873;0.0;1;73;0;2021;11;15;1;25;15;0;2021;15;15;1;9;39;0
12500009584132;1616258052937;0.1849680004119873;0.0;1;101;0;2021;2;26;5;54;44;0;2021;44;26;5;18;56;0
-12500009584134;1616258052937;0.1849680004119873;0.0;1;110;0;2021;10;7;20;46;52;0;2021;52;7;20;32;55;0
12500009584137;1616258052937;0.1849680004119873;0.0;1;76;0;2021;1;20;7;54;5;0;2021;5;20;7;41;18;0
-12500009584137;1616258052937;0.1849680004119873;0.0;1;85;0;2021;1;3;4;10;43;0;2021;43;3;4;18;52;0
12500009227679;1616258052938;0.1849680004119873;0.0;1;138;0;2021;9;27;22;49;26;0;2021;26;27;22;41;52;0
12500009227681;1616258052938;0.1849680004119873;0.0;1;50;0;2021;10;7;10;49;41;0;2021;41;7;10;53;55;0
-12500009227681;1616258052938;0.1849680004119873;0.0;1;78;0;2021;3;9;17;27;32;0;2021;32;9;17;38;33;0
12500009227680;1616258052938;0.1849680004119873;0.0;1;196;0;2021;9;23;18;52;47;0;2021;47;23;18;40;57;0
-12500009159556;1616258052963;0.1849680004119873;0.0;1;15;0;2021;1;21;7;37;56;0;2021;56;21;7;58;56;0
-12500010054615;1616258052978;0.1849680004119873;0.0;1;18;0;2021;3;5;4;32;47;0;2021;47;5;4;29;58;0
12500010054615;1616258052978;0.1849680004119873;0.0;1;188;0;2021;8;22;1;58;53;0;2021;53;22;1;15;53;0
12500009709998;1616258052981;0.1849680004119873;0.0;1;31;0;2021;9;6;1;8;9;0;2021;9;6;1;17;26;0
12500009802340;1616258052981;0.1849680004119873;0.0;1;11;0;2021;11;11;12;29;53;0;2021;53;11;12;48;57;0
12500010082602;1616258052988;0.1849680004119873;0.0;1;174;0;2021;8;3;2;26;46;0;2021;46;3;2;57;52;0
-12500010082602;1616258052988;0.1849680004119873;0.0;1;97;0;2021;2;12;17;0;56;0;2021;56;12;17;26;57;0
-12500010092072;1616258052988;0.1849680004119873;0.0;1;4;0;2021;6;3;3;13;37;0;2021;37;3;3;14;55;0
12500010092072;1616258052988;0.1849680004119873;0.0;1;5;0;2021;11;11;5;33;21;0;2021;21;11;5;8;51;0
12500009988134;1616258052990;0.1849680004119873;0.0;1;99;0;2021;9;6;3;5;0;0;2021;0;6;3;14;19;0
12500010107671;1616258053014;0.1849680004119873;0.0;1;184;0;2021;7;26;8;38;22;0;2021;22;26;8;52;54;0
-12500010107671;1616258053014;0.1849680004119873;0.0;1;131;0;2021;10;5;10;52;9;0;2021;9;5;10;19;11;0
12500010101054;1616258053029;0.1849680004119873;0.0;1;32;0;2021;4;24;17;33;54;0;2021;54;24;17;39;56;0
