linkId;timestamp;avgTravelTime;sdTravelTime;numVehicles;aggPeriod.seconds;aggPeriod.nanos;startTime.date.year;startTime.date.month;startTime.date.day;startTime.time.hour;startTime.time.minute;startTime.time.second;startTime.time.nano;endTime.date.year;endTime.date.month;endTime.date.day;endTime.time.hour;endTime.time.minute;endTime.time.second;endTime.time.nano
12500009964394;1616258052727;0.1849680004119873;0.0;1;79;0;2021;11;18;22;29;10;0;2021;10;18;22;45;32;0
-12500010005598;1616258052750;0.1849680004119873;0.0;1;58;0;2021;5;15;11;41;46;0;2021;46;15;11;14;50;0
-12500010005599;1616258052750;0.1849680004119873;0.0;1;37;0;2021;4;25;5;7;24;0;2021;24;25;5;30;56;0
-12500010005600;1616258052750;0.1849680004119873;0.0;1;79;0;2021;3;9;21;13;33;0;2021;33;9;21;47;57;0
-12500009992362;1616258052751;0.1849680004119873;0.0;1;36;0;2021;8;18;7;47;28;0;2021;28;18;7;45;47;0
-12500009992364;1616258052751;0.1849680004119873;0.0;1;4;0;2021;7;1;11;22;29;0;2021;29;1;11;41;52;0
-12500009992363;1616258052751;0.1849680004119873;0.0;1;136;0;2021;11;24;18;53;33;0;2021;33;24;18;47;40;0
-12500009963238;1616258052754;0.1849680004119873;0.0;1;84;0;2021;6;10;0;1;55;0;2021;55;10;0;36;56;0
-12500009931313;1616258052754;0.1849680004119873;0.0;1;77;0;2021;11;9;9;35;22;0;2021;22;9;9;33;32;0
-12500009911537;1616258052754;0.1849680004119873;0.0;1;137;0;2021;4;11;16;22;1;0;2021;1;11;16;27;8;0
-12500009878625;1616258052756;0.1849680004119873;0.0;1;193;0;2021;7;7;16;28;40;0;2021;40;7;16;39;44;0
-12500009855446;1616258052756;0.1849680004119873;0.0;1;15;0;2021;3;12;22;12;45;0;2021;45;12;22;57;45;0
-12500009805216;1616258052758;0.1849680004119873;0.0;1;98;0;2021;5;19;11;19;50;0;2021;50;19;11;41;51;0
-12500009632181;1616258052768;0.1849680004119873;0.0;1;177;0;2021;11;19;7;50;17;0;2021;17;19;7;49;32;0
-12500009632182;1616258052768;0.1849680004119873;0.0;1;137;0;2021;11;12;18;13;22;0;2021;22;12;18;39;44;0
-12500009632184;1616258052768;0.1849680004119873;0.0;1;10;0;2021;8;21;20;17;58;0;2021;58;21;20;25;58;0
-12500009632183;1616258052768;0.1849680004119873;0.0;1;7;0;2021;5;1;0;29;49;0;2021;49;1;0;35;57;0
-12500009632179;1616258052768;0.1849680004119873;0.0;1;147;0;2021;9;23;3;31;12;0;2021;12;23;3;16;31;0
-12500009590945;1616258052771;0.1849680004119873;0.0;1;188;0;2021;2;15;10;14;57;0;2021;57;15;10;40;57;0
-12500009587832;1616258052771;0.1849680004119873;0.0;1;134;0;2021;9;24;1;16;51;0;2021;51;24;1;7;55;0
-12500009587786;1616258052772;0.1849680004119873;0.0;1;44;0;2021;9;17;11;51;32;0;2021;32;17;11;38;45;0
-12500009587782;1616258052773;0.1849680004119873;0.0;1;96;0;2021;8;9;21;49;13;0;2021;13;9;21;32;42;0
-12500009587781;1616258052773;0.1849680004119873;0.0;1;9;0;2021;10;11;21;28;15;0;2021;15;11;21;50;17;0
-12500009587783;1616258052773;0.1849680004119873;0.0;1;31;0;2021;1;14;13;55;44;0;2021;44;14;13;36;49;0
-12500009587785;1616258052773;0.1849680004119873;0.0;1;114;0;2021;1;24;19;18;26;0;2021;26;24;19;42;28;0
-12500009587784;1616258052773;0.1849680004119873;0.0;1;65;0;2021;10;8;16;1;30;0;2021;30;8;16;40;36;0
-12500009581853;1616258052774;0.1849680004119873;0.0;1;64;0;2021;6;11;15;1;16;0;2021;16;11;15;35;29;0
-12500009562025;1616258052775;0.1849680004119873;0.0;1;89;0;2021;8;25;10;29;52;0;2021;52;25;10;42;56;0
-12500009562026;1616258052775;0.1849680004119873;0.0;1;186;0;2021;11;18;16;47;2;0;2021;2;18;16;26;5;0
-12500009562028;1616258052775;0.1849680004119873;0.0;1;161;0;2021;7;10;20;55;25;0;2021;25;10;20;35;52;0
-12500009562027;1616258052775;0.1849680004119873;0.0;1;143;0;2021;10;23;12;30;28;0;2021;28;23;12;49;36;0
-12500009562024;1616258052775;0.1849680004119873;0.0;1;146;0;2021;11;26;9;50;26;0;2021;26;26;9;19;48;0
-12500009562023;1616258052775;0.1849680004119873;0.0;1;160;0;2021;3;9;3;11;45;0;2021;45;9;3;38;53;0
-12500009484098;1616258052777;0.1849680004119873;0.0;1;97;0;2021;4;25;15;53;42;0;2021;42;25;15;46;52;0
-12500009490103;1616258052777;0.1849680004119873;0.0;1;65;0;2021;8;9;13;47;4;0;2021;4;9;13;15;24;0
-12500009478116;1616258052779;0.1849680004119873;0.0;1;146;0;2021;8;6;19;25;42;0;2021;42;6;19;38;47;0
-12500009478117;1616258052779;0.1849680004119873;0.0;1;27;0;2021;9;23;16;37;39;0;2021;39;23;16;48;41;0
-12500009478114;1616258052779;0.1849680004119873;0.0;1;96;0;2021;7;6;8;49;51;0;2021;51;6;8;31;52;0
-12500009478115;1616258052780;0.1849680004119873;0.0;1;167;0;2021;6;27;6;10;26;0;2021;26;27;6;6;38;0
-12500009453321;1616258052785;0.1849680004119873;0.0;1;145;0;2021;9;13;1;51;24;0;2021;24;13;1;18;51;0
-12500009416534;1616258052786;0.1849680004119873;0.0;1;175;0;2021;1;14;0;56;32;0;2021;32;14;0;18;40;0
-12500009379876;1616258052787;0.1849680004119873;0.0;1;90;0;2021;5;22;2;13;57;0;2021;57;22;2;58;57;0
-12500009379875;1616258052787;0.1849680004119873;0.0;1;95;0;2021;2;25;12;35;21;0;2021;21;25;12;33;55;0
-12500009368468;1616258052788;0.1849680004119873;0.0;1;31;0;2021;9;15;20;21;27;0;2021;27;15;20;20;34;0
-12500009364388;1616258052788;0.1849680004119873;0.0;1;102;0;2021;4;2;6;1;10;0;2021;10;2;6;38;47;0
-12500009364387;1616258052788;0.1849680004119873;0.0;1;184;0;2021;8;26;12;42;33;0;2021;33;26;12;41;54;0
-12500009320432;1616258052790;0.1849680004119873;0.0;1;80;0;2021;1;15;2;20;22;0;2021;22;15;2;42;53;0
-12500009320436;1616258052790;0.1849680004119873;0.0;1;136;0;2021;10;1;13;31;0;0;2021;0;1;13;53;26;0
-12500009320433;1616258052790;0.1849680004119873;0.0;1;71;0;2021;11;23;6;19;16;0;2021;16;23;6;43;43;0
-12500009320435;1616258052790;0.1849680004119873;0.0;1;173;0;2021;10;23;17;55;56;0;2021;56;23;17;21;57;0
-12500009320434;1616258052790;0.1849680004119873;0.0;1;94;0;2021;6;13;12;17;51;0;2021;51;13;12;50;52;0
-12500009270021;1616258052793;0.1849680004119873;0.0;1;188;0;2021;4;27;17;6;43;0;2021;43;27;17;29;55;0
-12500009225961;1616258052793;0.1849680004119873;0.0;1;23;0;2021;9;24;17;16;4;0;2021;4;24;17;27;9;0
-12500009212779;1616258052793;0.1849680004119873;0.0;1;135;0;2021;8;13;20;14;44;0;2021;44;13;20;23;55;0
-12500009212781;1616258052793;0.1849680004119873;0.0;1;154;0;2021;5;23;0;0;58;0;2021;58;23;0;24;58;0
-12500009183300;1616258052794;0.1849680004119873;0.0;1;92;0;2021;4;1;15;6;43;0;2021;43;1;15;19;55;0
-12500009180373;1616258052795;0.1849680004119873;0.0;1;7;0;2021;2;4;5;17;1;0;2021;1;4;5;28;41;0
-12500009157538;1616258052795;0.1849680004119873;0.0;1;48;0;2021;6;8;0;9;16;0;2021;16;8;0;10;18;0
-12500009135263;1616258052796;0.1849680004119873;0.0;1;40;0;2021;6;16;18;28;14;0;2021;14;16;18;32;24;0
-12500009074286;1616258052796;0.1849680004119873;0.0;1;25;0;2021;9;18;10;1;56;0;2021;56;18;10;58;56;0
12500009422548;1616258052800;0.1849680004119873;0.0;1;167;0;2021;1;20;1;38;34;0;2021;34;20;1;32;42;0
12500009180372;1616258052819;0.1849680004119873;0.0;1;161;0;2021;1;18;11;48;15;0;2021;15;18;11;33;18;0
12500009212783;1616258052820;0.1849680004119873;0.0;1;85;0;2021;2;4;5;0;29;0;2021;29;4;5;38;52;0
12500009212780;1616258052820;0.1849680004119873;0.0;1;54;0;2021;3;10;0;8;7;0;2021;7;10;0;3;38;0
12500009212782;1616258052820;0.1849680004119873;0.0;1;65;0;2021;9;7;17;55;40;0;2021;40;7;17;50;52;0
12500009270022;1616258052821;0.1849680004119873;0.0;1;155;0;2021;6;26;9;34;6;0;2021;6;26;9;39;47;0
12500009270020;1616258052821;0.1849680004119873;0.0;1;18;0;2021;3;19;21;15;26;0;2021;26;19;21;55;58;0
12500009270019;1616258052821;0.1849680004119873;0.0;1;133;0;2021;10;27;6;58;24;0;2021;24;27;6;53;52;0
12500009313972;1616258052823;0.1849680004119873;0.0;1;76;0;2021;6;4;1;29;7;0;2021;7;4;1;4;21;0
12500009332726;1616258052823;0.1849680004119873;0.0;1;147;0;2021;6;26;11;29;2;0;2021;2;26;11;41;21;0
12500009345020;1616258052823;0.1849680004119873;0.0;1;37;0;2021;7;9;7;13;39;0;2021;39;9;7;36;54;0
12500009440796;1616258052825;0.1849680004119873;0.0;1;139;0;2021;6;20;3;48;48;0;2021;48;20;3;3;57;0
12500009480214;1616258052826;0.1849680004119873;0.0;1;10;0;2021;7;6;18;42;12;0;2021;12;6;18;20;50;0
12500009551759;1616258052828;0.1849680004119873;0.0;1;70;0;2021;7;4;2;24;32;0;2021;32;4;2;46;52;0
12500009551760;1616258052828;0.1849680004119873;0.0;1;26;0;2021;9;17;0;20;49;0;2021;49;17;0;23;53;0
12500009551763;1616258052828;0.1849680004119873;0.0;1;183;0;2021;1;13;15;24;32;0;2021;32;13;15;44;41;0
12500009551762;1616258052828;0.1849680004119873;0.0;1;22;0;2021;8;5;5;20;16;0;2021;16;5;5;38;55;0
12500009548483;1616258052828;0.1849680004119873;0.0;1;118;0;2021;2;12;18;44;42;0;2021;42;12;18;52;44;0
12500009548484;1616258052829;0.1849680004119873;0.0;1;78;0;2021;4;16;8;57;9;0;2021;9;16;8;15;21;0
12500009551761;1616258052829;0.1849680004119873;0.0;1;198;0;2021;11;6;11;0;8;0;2021;8;6;11;14;26;0
12500009551758;1616258052829;0.1849680004119873;0.0;1;117;0;2021;11;22;22;3;16;0;2021;16;22;22;22;53;0
12500009551757;1616258052829;0.1849680004119873;0.0;1;79;0;2021;3;24;1;0;22;0;2021;22;24;1;7;39;0
12500009551756;1616258052829;0.1849680004119873;0.0;1;126;0;2021;6;23;19;12;58;0;2021;58;23;19;50;58;0
12500009551754;1616258052829;0.1849680004119873;0.0;1;169;0;2021;2;16;0;11;1;0;2021;1;16;0;20;24;0
12500009551755;1616258052829;0.1849680004119873;0.0;1;47;0;2021;2;27;6;49;18;0;2021;18;27;6;14;57;0
