linkId;timestamp;avgTravelTime;sdTravelTime;numVehicles;aggPeriod.seconds;aggPeriod.nanos;startTime.date.year;startTime.date.month;startTime.date.day;startTime.time.hour;startTime.time.minute;startTime.time.second;startTime.time.nano;endTime.date.year;endTime.date.month;endTime.date.day;endTime.time.hour;endTime.time.minute;endTime.time.second;endTime.time.nano
12500009708004;1616258052941;0.1849680004119873;0.0;1;9;0;2021;6;8;19;16;40;0;2021;40;8;19;56;49;0
-12500009110797;1616258052948;0.1849680004119873;0.0;1;22;0;2021;4;10;5;23;57;0;2021;57;10;5;45;57;0
12500009425678;1616258052953;0.1849680004119873;0.0;1;194;0;2021;4;18;10;58;23;0;2021;23;18;10;18;40;0
12500009955037;1616258052959;0.1849680004119873;0.0;1;50;0;2021;9;6;17;20;14;0;2021;14;6;17;49;34;0
-12500009955037;1616258052959;0.1849680004119873;0.0;1;115;0;2021;9;9;21;37;32;0;2021;32;9;21;58;38;0
12500009130672;1616258052959;0.1849680004119873;0.0;1;52;0;2021;6;9;8;38;19;0;2021;19;9;8;37;22;0
12500009904678;1616258052961;0.1849680004119873;0.0;1;154;0;2021;8;26;22;16;12;0;2021;12;26;22;30;51;0
12500009911070;1616258052962;0.1849680004119873;0.0;1;121;0;2021;9;23;22;35;48;0;2021;48;23;22;36;51;0
-12500009911070;1616258052962;0.1849680004119873;0.0;1;96;0;2021;3;18;20;6;49;0;2021;49;18;20;49;50;0
-12500009261393;1616258052962;0.1849680004119873;0.0;1;128;0;2021;1;4;18;31;12;0;2021;12;4;18;28;35;0
-12500009657729;1616258052962;0.1849680004119873;0.0;1;56;0;2021;9;12;0;5;16;0;2021;16;12;0;35;44;0
-12500009708004;1616258052962;0.1849680004119873;0.0;1;36;0;2021;10;27;7;41;49;0;2021;49;27;7;31;54;0
-12500009546661;1616258052962;0.1849680004119873;0.0;1;164;0;2021;3;3;20;8;34;0;2021;34;3;20;45;43;0
-12500009286179;1616258052962;0.1849680004119873;0.0;1;22;0;2021;4;7;0;20;53;0;2021;53;7;0;28;57;0
-12500009286178;1616258052962;0.1849680004119873;0.0;1;154;0;2021;6;12;8;36;7;0;2021;7;12;8;40;8;0
-12500009640296;1616258052962;0.1849680004119873;0.0;1;147;0;2021;6;3;22;49;33;0;2021;33;3;22;48;45;0
-12500009521585;1616258052962;0.1849680004119873;0.0;1;66;0;2021;1;6;11;21;58;0;2021;58;6;11;13;58;0
-12500009360218;1616258052962;0.1849680004119873;0.0;1;151;0;2021;4;15;9;21;53;0;2021;53;15;9;43;58;0
-12500009403333;1616258052962;0.1849680004119873;0.0;1;82;0;2021;8;21;7;34;6;0;2021;6;21;7;21;45;0
-12500009169854;1616258052962;0.1849680004119873;0.0;1;16;0;2021;7;8;18;27;0;0;2021;0;8;18;30;16;0
-12500009904678;1616258052962;0.1849680004119873;0.0;1;188;0;2021;9;7;15;26;39;0;2021;39;7;15;25;54;0
-12500009293139;1616258052962;0.1849680004119873;0.0;1;13;0;2021;6;2;4;32;0;0;2021;0;2;4;46;20;0
-12500009573949;1616258052962;0.1849680004119873;0.0;1;54;0;2021;1;23;22;50;55;0;2021;55;23;22;56;56;0
-12500009835952;1616258052962;0.1849680004119873;0.0;1;3;0;2021;8;21;2;13;13;0;2021;13;21;2;10;41;0
-12500009835953;1616258052962;0.1849680004119873;0.0;1;107;0;2021;11;13;14;52;0;0;2021;0;13;14;36;35;0
-12500009155670;1616258052962;0.1849680004119873;0.0;1;8;0;2021;2;6;16;35;26;0;2021;26;6;16;22;55;0
-12500009572006;1616258052963;0.1849680004119873;0.0;1;34;0;2021;4;4;18;51;41;0;2021;41;4;18;24;44;0
-12500009316123;1616258052963;0.1849680004119873;0.0;1;179;0;2021;2;1;12;2;30;0;2021;30;1;12;25;33;0
-12500009982452;1616258052963;0.1849680004119873;0.0;1;110;0;2021;4;12;7;47;23;0;2021;23;12;7;23;44;0
12500009911271;1616258052963;0.1849680004119873;0.0;1;40;0;2021;1;26;13;43;21;0;2021;21;26;13;40;36;0
-12500009911271;1616258052963;0.1849680004119873;0.0;1;46;0;2021;6;14;3;45;33;0;2021;33;14;3;54;41;0
-12500009391093;1616258052965;0.1849680004119873;0.0;1;195;0;2021;8;5;22;9;45;0;2021;45;5;22;22;49;0
-12500009223589;1616258052966;0.1849680004119873;0.0;1;112;0;2021;6;25;8;51;31;0;2021;31;25;8;26;51;0
12500009905159;1616258052967;0.1849680004119873;0.0;1;142;0;2021;8;5;15;19;29;0;2021;29;5;15;44;37;0
-12500009905159;1616258052967;0.1849680004119873;0.0;1;26;0;2021;6;16;22;18;7;0;2021;7;16;22;31;57;0
-12500009225127;1616258052967;0.1849680004119873;0.0;1;104;0;2021;11;1;10;23;34;0;2021;34;1;10;53;37;0
-12500009280137;1616258052967;0.1849680004119873;0.0;1;77;0;2021;6;17;20;22;31;0;2021;31;17;20;38;41;0
-12500009825714;1616258052968;0.1849680004119873;0.0;1;87;0;2021;1;18;11;48;41;0;2021;41;18;11;15;49;0
12500010056656;1616258052979;0.1849680004119873;0.0;1;41;0;2021;7;10;11;12;26;0;2021;26;10;11;44;55;0
-12500009982453;1616258052986;0.1849680004119873;0.0;1;166;0;2021;7;6;19;0;35;0;2021;35;6;19;43;45;0
12500009982453;1616258052986;0.1849680004119873;0.0;1;66;0;2021;11;22;15;4;44;0;2021;44;22;15;27;58;0
12500009116319;1616258053035;0.1849680004119873;0.0;1;162;0;2021;7;13;9;7;50;0;2021;50;13;9;54;57;0
12500009142251;1616258053037;0.1849680004119873;0.0;1;1;0;2021;6;13;22;10;43;0;2021;43;13;22;34;43;0
12500009425677;1616258053052;0.1849680004119873;0.0;1;115;0;2021;4;16;15;22;50;0;2021;50;16;15;16;53;0
12500009825714;1616258053061;0.1849680004119873;0.0;1;58;0;2021;11;17;16;51;13;0;2021;13;17;16;24;17;0
12500009835952;1616258053062;0.1849680004119873;0.0;1;121;0;2021;3;14;14;6;9;0;2021;9;14;14;14;56;0
12500009835953;1616258053062;0.1849680004119873;0.0;1;104;0;2021;5;27;20;2;26;0;2021;26;27;20;40;52;0
-12500009272048;1616258053063;0.1849680004119873;0.0;1;54;0;2021;1;17;9;8;32;0;2021;32;17;9;49;56;0
-12500009130672;1616258053067;0.1849680004119873;0.0;1;168;0;2021;11;20;21;54;4;0;2021;4;20;21;29;8;0
-12500009142251;1616258053067;0.1849680004119873;0.0;1;13;0;2021;11;11;3;45;45;0;2021;45;11;3;24;45;0
-12500009248904;1616258053071;0.1849680004119873;0.0;1;178;0;2021;8;5;22;45;1;0;2021;1;5;22;46;22;0
12500009248904;1616258053071;0.1849680004119873;0.0;1;44;0;2021;3;8;20;33;58;0;2021;58;8;20;40;58;0
12500009165757;1616258053071;0.1849680004119873;0.0;1;16;0;2021;6;6;12;17;12;0;2021;12;6;12;15;27;0
12500009223589;1616258053071;0.1849680004119873;0.0;1;73;0;2021;2;7;15;1;4;0;2021;4;7;15;30;14;0
12500009286178;1616258053075;0.1849680004119873;0.0;1;54;0;2021;2;26;21;10;5;0;2021;5;26;21;23;34;0
12500009098845;1616258053080;0.1849680004119873;0.0;1;15;0;2021;5;23;7;10;4;0;2021;4;23;7;46;47;0
-12500009132889;1616258053084;0.1849680004119873;0.0;1;85;0;2021;10;25;3;11;48;0;2021;48;25;3;40;58;0
12500009458317;1616258053084;0.1849680004119873;0.0;1;1;0;2021;11;12;4;8;47;0;2021;47;12;4;22;47;0
12500009458316;1616258053084;0.1849680004119873;0.0;1;186;0;2021;11;8;9;12;58;0;2021;58;8;9;36;58;0
12500009544812;1616258053084;0.1849680004119873;0.0;1;167;0;2021;8;3;16;45;26;0;2021;26;3;16;56;41;0
-12500009544812;1616258053084;0.1849680004119873;0.0;1;29;0;2021;10;18;19;21;55;0;2021;55;18;19;19;56;0
-12500009522480;1616258053084;0.1849680004119873;0.0;1;4;0;2021;10;5;18;58;26;0;2021;26;5;18;37;36;0
12500009558064;1616258053085;0.1849680004119873;0.0;1;72;0;2021;4;13;11;38;42;0;2021;42;13;11;31;57;0
-12500009558064;1616258053085;0.1849680004119873;0.0;1;52;0;2021;4;9;21;20;42;0;2021;42;9;21;26;55;0
12500009607841;1616258053087;0.1849680004119873;0.0;1;197;0;2021;8;4;11;32;58;0;2021;58;4;11;52;58;0
12500009656029;1616258053091;0.1849680004119873;0.0;1;35;0;2021;8;12;21;26;8;0;2021;8;12;21;21;52;0
-12500009656029;1616258053091;0.1849680004119873;0.0;1;87;0;2021;6;23;17;19;44;0;2021;44;23;17;39;58;0
12500009656030;1616258053091;0.1849680004119873;0.0;1;96;0;2021;7;4;18;35;55;0;2021;55;4;18;41;56;0
-12500009280138;1616258053093;0.1849680004119873;0.0;1;71;0;2021;6;18;13;5;36;0;2021;36;18;13;56;43;0
-12500009280136;1616258053093;0.1849680004119873;0.0;1;88;0;2021;8;2;10;29;42;0;2021;42;2;10;46;54;0
-12500009280134;1616258053093;0.1849680004119873;0.0;1;192;0;2021;3;26;5;29;19;0;2021;19;26;5;25;43;0
12500009255942;1616258053095;0.1849680004119873;0.0;1;113;0;2021;6;22;11;40;27;0;2021;27;22;11;56;27;0
12500009373487;1616258053099;0.1849680004119873;0.0;1;177;0;2021;9;1;20;9;24;0;2021;24;1;20;49;53;0
12500009425682;1616258053101;0.1849680004119873;0.0;1;32;0;2021;1;1;12;31;45;0;2021;45;1;12;52;58;0
12500009425681;1616258053102;0.1849680004119873;0.0;1;179;0;2021;2;16;15;29;39;0;2021;39;16;15;51;47;0
