linkId;timestamp;avgTravelTime;sdTravelTime;numVehicles;aggPeriod.seconds;aggPeriod.nanos;startTime.date.year;startTime.date.month;startTime.date.day;startTime.time.hour;startTime.time.minute;startTime.time.second;startTime.time.nano;endTime.date.year;endTime.date.month;endTime.date.day;endTime.time.hour;endTime.time.minute;endTime.time.second;endTime.time.nano
-12500009484068;1616258052778;0.1849680004119873;0.0;1;59;0;2021;9;4;4;56;53;0;2021;53;4;4;19;55;0
-12500009484069;1616258052779;0.1849680004119873;0.0;1;18;0;2021;1;4;21;58;13;0;2021;13;4;21;31;14;0
-12500009466146;1616258052782;0.1849680004119873;0.0;1;114;0;2021;2;20;0;33;52;0;2021;52;20;0;57;57;0
-12500009295006;1616258052791;0.1849680004119873;0.0;1;14;0;2021;10;22;11;9;6;0;2021;6;22;11;14;21;0
12500009292308;1616258052822;0.1849680004119873;0.0;1;42;0;2021;2;26;17;21;48;0;2021;48;26;17;33;54;0
12500009295005;1616258052822;0.1849680004119873;0.0;1;166;0;2021;2;1;7;45;43;0;2021;43;1;7;46;43;0
12500009741786;1616258052835;0.1849680004119873;0.0;1;69;0;2021;6;18;1;40;3;0;2021;3;18;1;46;5;0
-12500009869810;1616258052853;0.1849680004119873;0.0;1;7;0;2021;8;24;10;19;41;0;2021;41;24;10;34;52;0
-12500009503481;1616258052853;0.1849680004119873;0.0;1;100;0;2021;5;17;21;2;16;0;2021;16;17;21;46;54;0
-12500009827557;1616258052855;0.1849680004119873;0.0;1;88;0;2021;2;19;20;30;57;0;2021;57;19;20;44;57;0
-12500009654699;1616258052867;0.1849680004119873;0.0;1;50;0;2021;9;18;14;23;8;0;2021;8;18;14;24;41;0
-12500009676314;1616258052868;0.1849680004119873;0.0;1;116;0;2021;4;16;18;54;45;0;2021;45;16;18;39;56;0
-12500009622162;1616258052871;0.1849680004119873;0.0;1;197;0;2021;1;11;17;12;44;0;2021;44;11;17;28;47;0
12500009387963;1616258052873;0.1849680004119873;0.0;1;156;0;2021;8;11;17;48;14;0;2021;14;11;17;34;50;0
12500009387966;1616258052875;0.1849680004119873;0.0;1;63;0;2021;2;8;19;33;13;0;2021;13;8;19;30;41;0
12500009387965;1616258052875;0.1849680004119873;0.0;1;38;0;2021;4;13;12;6;32;0;2021;32;13;12;31;34;0
12500009335857;1616258052875;0.1849680004119873;0.0;1;91;0;2021;5;27;8;3;10;0;2021;10;27;8;39;51;0
12500009089537;1616258052875;0.1849680004119873;0.0;1;135;0;2021;1;24;10;14;50;0;2021;50;24;10;50;51;0
-12500010156164;1616258052878;0.1849680004119873;0.0;1;181;0;2021;2;17;8;39;36;0;2021;36;17;8;45;38;0
12500010156164;1616258052878;0.1849680004119873;0.0;1;149;0;2021;1;4;2;13;47;0;2021;47;4;2;24;56;0
12500009885590;1616258052879;0.1849680004119873;0.0;1;114;0;2021;4;6;22;29;13;0;2021;13;6;22;24;47;0
12500009387964;1616258052879;0.1849680004119873;0.0;1;57;0;2021;10;10;9;43;48;0;2021;48;10;9;58;57;0
-12500009622985;1616258052883;0.1849680004119873;0.0;1;116;0;2021;3;14;19;52;24;0;2021;24;14;19;40;24;0
12500009869252;1616258052883;0.1849680004119873;0.0;1;158;0;2021;1;26;14;33;19;0;2021;19;26;14;40;48;0
-12500009221190;1616258052884;0.1849680004119873;0.0;1;160;0;2021;7;21;2;44;33;0;2021;33;21;2;56;49;0
12500009920591;1616258052884;0.1849680004119873;0.0;1;155;0;2021;2;4;5;33;43;0;2021;43;4;5;13;50;0
12500009843599;1616258052888;0.1849680004119873;0.0;1;30;0;2021;3;18;3;9;47;0;2021;47;18;3;52;54;0
-12500009843599;1616258052888;0.1849680004119873;0.0;1;111;0;2021;2;2;18;30;53;0;2021;53;2;18;40;53;0
12500009854491;1616258052890;0.1849680004119873;0.0;1;70;0;2021;9;26;0;18;47;0;2021;47;26;0;22;54;0
-12500009854491;1616258052890;0.1849680004119873;0.0;1;133;0;2021;7;25;11;55;51;0;2021;51;25;11;25;58;0
12500009071132;1616258052891;0.1849680004119873;0.0;1;152;0;2021;7;17;1;24;47;0;2021;47;17;1;13;48;0
12500009221191;1616258052892;0.1849680004119873;0.0;1;114;0;2021;5;25;15;51;15;0;2021;15;25;15;43;33;0
12500009567808;1616258052893;0.1849680004119873;0.0;1;122;0;2021;7;3;16;21;33;0;2021;33;3;16;42;47;0
12500009852203;1616258052893;0.1849680004119873;0.0;1;135;0;2021;11;26;5;14;32;0;2021;32;26;5;29;49;0
-12500009654825;1616258052897;0.1849680004119873;0.0;1;157;0;2021;11;2;11;49;39;0;2021;39;2;11;19;46;0
12500009329063;1616258052897;0.1849680004119873;0.0;1;192;0;2021;10;3;3;43;4;0;2021;4;3;3;44;44;0
12500009725816;1616258052897;0.1849680004119873;0.0;1;140;0;2021;8;9;5;50;47;0;2021;47;9;5;37;58;0
-12500009805234;1616258052898;0.1849680004119873;0.0;1;199;0;2021;2;24;7;38;7;0;2021;7;24;7;15;39;0
12500009526516;1616258052902;0.1849680004119873;0.0;1;184;0;2021;8;2;12;4;13;0;2021;13;2;12;56;52;0
-12500009526516;1616258052902;0.1849680004119873;0.0;1;27;0;2021;4;11;1;48;24;0;2021;24;11;1;57;44;0
-12500009699556;1616258052903;0.1849680004119873;0.0;1;62;0;2021;4;20;10;52;31;0;2021;31;20;10;41;34;0
12500009699556;1616258052903;0.1849680004119873;0.0;1;192;0;2021;6;26;22;4;34;0;2021;34;26;22;41;55;0
-12500009963154;1616258052903;0.1849680004119873;0.0;1;33;0;2021;2;26;11;33;18;0;2021;18;26;11;32;31;0
12500009963154;1616258052903;0.1849680004119873;0.0;1;26;0;2021;11;26;20;32;34;0;2021;34;26;20;50;41;0
-12500009376076;1616258052905;0.1849680004119873;0.0;1;89;0;2021;6;23;9;31;44;0;2021;44;23;9;57;56;0
-12500009376080;1616258052905;0.1849680004119873;0.0;1;176;0;2021;10;11;14;32;55;0;2021;55;11;14;28;55;0
-12500009376079;1616258052905;0.1849680004119873;0.0;1;119;0;2021;11;6;18;43;57;0;2021;57;6;18;34;58;0
-12500009376078;1616258052905;0.1849680004119873;0.0;1;38;0;2021;8;9;3;19;40;0;2021;40;9;3;34;45;0
-12500009387968;1616258052905;0.1849680004119873;0.0;1;154;0;2021;6;22;7;31;47;0;2021;47;22;7;30;52;0
-12500010003073;1616258052909;0.1849680004119873;0.0;1;60;0;2021;10;27;1;20;38;0;2021;38;27;1;40;38;0
12500009387967;1616258052910;0.1849680004119873;0.0;1;178;0;2021;8;8;3;28;43;0;2021;43;8;3;48;43;0
12500009916556;1616258052912;0.1849680004119873;0.0;1;148;0;2021;1;14;3;26;18;0;2021;18;14;3;20;33;0
12500009867897;1616258052918;0.1849680004119873;0.0;1;92;0;2021;3;11;15;48;25;0;2021;25;11;15;22;31;0
-12500009867897;1616258052918;0.1849680004119873;0.0;1;67;0;2021;10;15;13;8;4;0;2021;4;15;13;16;41;0
12500009622162;1616258052918;0.1849680004119873;0.0;1;133;0;2021;3;13;1;40;34;0;2021;34;13;1;22;56;0
12500009740720;1616258052918;0.1849680004119873;0.0;1;62;0;2021;11;21;5;47;39;0;2021;39;21;5;24;52;0
12500009730254;1616258052922;0.1849680004119873;0.0;1;153;0;2021;5;19;6;27;17;0;2021;17;19;6;16;25;0
12500009503481;1616258052923;0.1849680004119873;0.0;1;153;0;2021;6;20;12;25;9;0;2021;9;20;12;40;21;0
12500009898818;1616258052923;0.1849680004119873;0.0;1;148;0;2021;7;2;5;47;18;0;2021;18;2;5;46;21;0
12500009883174;1616258052924;0.1849680004119873;0.0;1;153;0;2021;2;14;22;0;30;0;2021;30;14;22;37;38;0
12500009947661;1616258052925;0.1849680004119873;0.0;1;60;0;2021;1;1;0;9;30;0;2021;30;1;0;46;55;0
-12500009376077;1616258052927;0.1849680004119873;0.0;1;45;0;2021;6;17;16;36;28;0;2021;28;17;16;35;52;0
-12500009433317;1616258052928;0.1849680004119873;0.0;1;128;0;2021;8;18;22;29;23;0;2021;23;18;22;52;47;0
12500009827557;1616258052932;0.1849680004119873;0.0;1;162;0;2021;10;24;21;12;30;0;2021;30;24;21;42;58;0
12500009148693;1616258052932;0.1849680004119873;0.0;1;95;0;2021;1;14;6;20;30;0;2021;30;14;6;11;39;0
-12500009148693;1616258052934;0.1849680004119873;0.0;1;37;0;2021;11;15;9;53;54;0;2021;54;15;9;38;54;0
12500009622986;1616258052940;0.1849680004119873;0.0;1;51;0;2021;5;19;3;27;37;0;2021;37;19;3;57;40;0
12500009768198;1616258052945;0.1849680004119873;0.0;1;7;0;2021;7;15;18;14;38;0;2021;38;15;18;40;46;0
-12500009768198;1616258052945;0.1849680004119873;0.0;1;42;0;2021;7;17;1;14;45;0;2021;45;17;1;46;48;0
12500009231688;1616258052975;0.1849680004119873;0.0;1;115;0;2021;9;15;10;7;26;0;2021;26;15;10;57;55;0
12500009287737;1616258052976;0.1849680004119873;0.0;1;171;0;2021;2;20;3;18;35;0;2021;35;20;3;6;56;0
12500009427879;1616258052977;0.1849680004119873;0.0;1;113;0;2021;1;12;9;51;9;0;2021;9;12;9;41;17;0
12500009513374;1616258052979;0.1849680004119873;0.0;1;35;0;2021;7;3;14;6;3;0;2021;3;3;14;22;27;0
12500009723592;1616258052981;0.1849680004119873;0.0;1;129;0;2021;8;11;19;50;51;0;2021;51;11;19;41;51;0
12500009744931;1616258052981;0.1849680004119873;0.0;1;153;0;2021;9;6;5;54;13;0;2021;13;6;5;44;15;0
12500009820709;1616258052983;0.1849680004119873;0.0;1;105;0;2021;2;21;2;42;58;0;2021;58;21;2;37;58;0
12500009924456;1616258052984;0.1849680004119873;0.0;1;70;0;2021;10;4;22;42;54;0;2021;54;4;22;55;58;0
12500010121454;1616258052985;0.1849680004119873;0.0;1;2;0;2021;10;23;15;39;30;0;2021;30;23;15;21;33;0
12500009972696;1616258052990;0.1849680004119873;0.0;1;92;0;2021;3;7;14;47;50;0;2021;50;7;14;37;51;0
12500009979178;1616258052990;0.1849680004119873;0.0;1;3;0;2021;6;2;8;42;44;0;2021;44;2;8;45;53;0
12500010022072;1616258053001;0.1849680004119873;0.0;1;100;0;2021;8;19;17;30;49;0;2021;49;19;17;46;58;0
12500010060296;1616258053001;0.1849680004119873;0.0;1;6;0;2021;3;14;20;25;45;0;2021;45;14;20;27;54;0
12500010060054;1616258053009;0.1849680004119873;0.0;1;29;0;2021;6;26;18;49;42;0;2021;42;26;18;26;56;0
12500010013370;1616258053010;0.1849680004119873;0.0;1;140;0;2021;11;1;22;20;11;0;2021;11;1;22;44;56;0
12500010113333;1616258053011;0.1849680004119873;0.0;1;145;0;2021;9;6;0;3;4;0;2021;4;6;0;27;31;0
12500009786562;1616258053011;0.1849680004119873;0.0;1;154;0;2021;2;18;6;47;58;0;2021;58;18;6;33;58;0
12500009700361;1616258053026;0.1849680004119873;0.0;1;51;0;2021;8;23;11;16;19;0;2021;19;23;11;31;28;0
12500009679896;1616258053027;0.1849680004119873;0.0;1;156;0;2021;9;4;20;8;1;0;2021;1;4;20;27;15;0
12500009661447;1616258053029;0.1849680004119873;0.0;1;191;0;2021;6;17;7;2;4;0;2021;4;17;7;19;41;0
12500009730950;1616258053029;0.1849680004119873;0.0;1;37;0;2021;6;16;4;43;18;0;2021;18;16;4;37;18;0
12500009656179;1616258053029;0.1849680004119873;0.0;1;4;0;2021;8;24;22;57;6;0;2021;6;24;22;22;30;0
12500009797538;1616258053039;0.1849680004119873;0.0;1;117;0;2021;3;26;2;7;23;0;2021;23;26;2;33;25;0
12500009793032;1616258053039;0.1849680004119873;0.0;1;121;0;2021;8;5;9;22;46;0;2021;46;5;9;26;52;0
12500009754436;1616258053041;0.1849680004119873;0.0;1;15;0;2021;1;1;2;58;38;0;2021;38;1;2;34;54;0
12500009821411;1616258053042;0.1849680004119873;0.0;1;166;0;2021;4;21;4;6;34;0;2021;34;21;4;47;45;0
12500009821425;1616258053042;0.1849680004119873;0.0;1;22;0;2021;3;6;19;12;17;0;2021;17;6;19;58;47;0
12500009821426;1616258053043;0.1849680004119873;0.0;1;55;0;2021;1;2;7;14;30;0;2021;30;2;7;54;31;0
12500009847338;1616258053043;0.1849680004119873;0.0;1;184;0;2021;8;14;5;20;15;0;2021;15;14;5;23;50;0
12500009814587;1616258053045;0.1849680004119873;0.0;1;47;0;2021;11;22;12;5;12;0;2021;12;22;12;54;50;0
-12500010107813;1616258053046;0.1849680004119873;0.0;1;117;0;2021;10;13;2;1;25;0;2021;25;13;2;50;42;0
12500009849357;1616258053049;0.1849680004119873;0.0;1;152;0;2021;8;7;15;35;55;0;2021;55;7;15;15;57;0
-12500010136620;1616258053056;0.1849680004119873;0.0;1;181;0;2021;6;22;14;5;55;0;2021;55;22;14;31;55;0
12500010136620;1616258053056;0.1849680004119873;0.0;1;95;0;2021;10;2;3;24;31;0;2021;31;2;3;19;50;0
12500009873771;1616258053057;0.1849680004119873;0.0;1;199;0;2021;3;8;4;15;32;0;2021;32;8;4;19;40;0
12500009855886;1616258053059;0.1849680004119873;0.0;1;6;0;2021;9;4;3;4;33;0;2021;33;4;3;42;44;0
-12500009220063;1616258053059;0.1849680004119873;0.0;1;27;0;2021;2;2;5;51;57;0;2021;57;2;5;48;58;0
-12500009296913;1616258053059;0.1849680004119873;0.0;1;129;0;2021;3;22;9;3;27;0;2021;27;22;9;21;56;0
-12500009744218;1616258053059;0.1849680004119873;0.0;1;136;0;2021;9;6;15;42;42;0;2021;42;6;15;41;50;0
-12500009938576;1616258053059;0.1849680004119873;0.0;1;160;0;2021;3;23;1;52;52;0;2021;52;23;1;10;55;0
12500009942036;1616258053059;0.1849680004119873;0.0;1;58;0;2021;9;10;21;16;57;0;2021;57;10;21;23;58;0
12500009935789;1616258053059;0.1849680004119873;0.0;1;18;0;2021;11;19;9;50;57;0;2021;57;19;9;31;57;0
12500009725399;1616258053060;0.1849680004119873;0.0;1;58;0;2021;1;14;18;44;37;0;2021;37;14;18;50;44;0
12500009482481;1616258053066;0.1849680004119873;0.0;1;140;0;2021;10;19;21;34;5;0;2021;5;19;21;56;33;0
12500009765584;1616258053067;0.1849680004119873;0.0;1;192;0;2021;6;2;7;46;56;0;2021;56;2;7;48;57;0
12500009912956;1616258053068;0.1849680004119873;0.0;1;74;0;2021;3;26;22;51;1;0;2021;1;26;22;33;28;0
12500010030196;1616258053069;0.1849680004119873;0.0;1;63;0;2021;8;3;15;43;8;0;2021;8;3;15;31;43;0
12500010030198;1616258053069;0.1849680004119873;0.0;1;115;0;2021;5;2;17;48;0;0;2021;0;2;17;21;44;0
12500010060295;1616258053069;0.1849680004119873;0.0;1;76;0;2021;9;3;3;20;37;0;2021;37;3;3;6;52;0
12500009613170;1616258053069;0.1849680004119873;0.0;1;134;0;2021;8;10;13;27;13;0;2021;13;10;13;20;54;0
12500009677369;1616258053070;0.1849680004119873;0.0;1;72;0;2021;11;17;19;45;38;0;2021;38;17;19;24;44;0
12500009677368;1616258053070;0.1849680004119873;0.0;1;78;0;2021;1;17;9;26;11;0;2021;11;17;9;46;24;0
12500009677367;1616258053070;0.1849680004119873;0.0;1;114;0;2021;1;16;1;19;51;0;2021;51;16;1;7;58;0
12500009677366;1616258053070;0.1849680004119873;0.0;1;80;0;2021;10;27;4;24;34;0;2021;34;27;4;52;43;0
12500009677365;1616258053070;0.1849680004119873;0.0;1;150;0;2021;10;20;16;19;39;0;2021;39;20;16;42;46;0
12500009757174;1616258053070;0.1849680004119873;0.0;1;143;0;2021;4;15;17;36;7;0;2021;7;15;17;41;15;0
-12500009502654;1616258053072;0.1849680004119873;0.0;1;164;0;2021;9;5;9;23;54;0;2021;54;5;9;10;55;0
-12500009687401;1616258053072;0.1849680004119873;0.0;1;72;0;2021;1;27;11;56;49;0;2021;49;27;11;28;51;0
-12500009891165;1616258053072;0.1849680004119873;0.0;1;136;0;2021;5;11;5;52;24;0;2021;24;11;5;55;25;0
-12500009409743;1616258053073;0.1849680004119873;0.0;1;35;0;2021;8;15;20;49;16;0;2021;16;15;20;54;56;0
-12500009821423;1616258053073;0.1849680004119873;0.0;1;139;0;2021;2;19;11;14;35;0;2021;35;19;11;49;42;0
-12500009773666;1616258053077;0.1849680004119873;0.0;1;164;0;2021;7;25;20;40;49;0;2021;49;25;20;53;56;0
-12500009615656;1616258053078;0.1849680004119873;0.0;1;196;0;2021;1;8;18;39;35;0;2021;35;8;18;36;41;0
-12500009661449;1616258053081;0.1849680004119873;0.0;1;187;0;2021;2;14;6;17;12;0;2021;12;14;6;32;25;0
-12500009661448;1616258053081;0.1849680004119873;0.0;1;172;0;2021;4;19;5;26;35;0;2021;35;19;5;16;52;0
-12500010142057;1616258053081;0.1849680004119873;0.0;1;58;0;2021;6;6;21;44;36;0;2021;36;6;21;41;52;0
-12500009725399;1616258053081;0.1849680004119873;0.0;1;23;0;2021;3;24;14;35;58;0;2021;58;24;14;53;58;0
-12500010060466;1616258053082;0.1849680004119873;0.0;1;180;0;2021;10;6;13;32;15;0;2021;15;6;13;36;22;0
-12500009803215;1616258053086;0.1849680004119873;0.0;1;191;0;2021;4;8;13;37;51;0;2021;51;8;13;39;51;0
12500009803215;1616258053086;0.1849680004119873;0.0;1;1;0;2021;9;17;13;36;49;0;2021;49;17;13;35;53;0
12500009891165;1616258053087;0.1849680004119873;0.0;1;135;0;2021;1;27;22;20;8;0;2021;8;27;22;27;37;0
12500009219688;1616258053094;0.1849680004119873;0.0;1;110;0;2021;7;6;1;41;19;0;2021;19;6;1;16;21;0
12500009307545;1616258053096;0.1849680004119873;0.0;1;115;0;2021;9;23;2;43;53;0;2021;53;23;2;6;57;0
12500009401102;1616258053101;0.1849680004119873;0.0;1;24;0;2021;1;25;9;41;48;0;2021;48;25;9;26;57;0
12500009404112;1616258053101;0.1849680004119873;0.0;1;58;0;2021;7;21;4;12;55;0;2021;55;21;4;48;55;0
12500009404111;1616258053101;0.1849680004119873;0.0;1;7;0;2021;4;10;14;21;43;0;2021;43;10;14;34;50;0
12500009465954;1616258053103;0.1849680004119873;0.0;1;123;0;2021;11;27;17;10;40;0;2021;40;27;17;24;53;0
12500009465953;1616258053103;0.1849680004119873;0.0;1;186;0;2021;6;16;15;18;53;0;2021;53;16;15;37;57;0
12500009464538;1616258053103;0.1849680004119873;0.0;1;79;0;2021;9;9;2;57;24;0;2021;24;9;2;18;33;0
12500009509515;1616258053105;0.1849680004119873;0.0;1;4;0;2021;9;20;13;40;3;0;2021;3;20;13;37;51;0
12500009503404;1616258053106;0.1849680004119873;0.0;1;199;0;2021;3;1;1;40;3;0;2021;3;1;1;55;44;0
-12500009192208;1616258053135;0.1849680004119873;0.0;1;33;0;2021;2;11;3;27;56;0;2021;56;11;3;38;56;0
12500009219687;1616258053142;0.1849680004119873;0.0;1;13;0;2021;8;20;1;47;32;0;2021;32;20;1;44;53;0
-12500009925496;1616258053150;0.1849680004119873;0.0;1;103;0;2021;1;2;21;45;15;0;2021;15;2;21;44;17;0
12500009930545;1616258053150;0.1849680004119873;0.0;1;24;0;2021;10;12;1;5;8;0;2021;8;12;1;57;53;0
12500009935792;1616258053152;0.1849680004119873;0.0;1;17;0;2021;9;10;6;5;0;0;2021;0;10;6;57;50;0
12500009789574;1616258053152;0.1849680004119873;0.0;1;1;0;2021;6;27;0;56;29;0;2021;29;27;0;50;58;0
-12500009821420;1616258053156;0.1849680004119873;0.0;1;16;0;2021;9;14;22;9;2;0;2021;2;14;22;33;11;0
12500009502654;1616258053158;0.1849680004119873;0.0;1;53;0;2021;7;14;13;33;33;0;2021;33;14;13;20;50;0
12500009093656;1616258053158;0.1849680004119873;0.0;1;165;0;2021;2;26;8;46;47;0;2021;47;26;8;8;55;0
