osmid1;osmid2
0;99999
1;99998
10;99997
100;99996
1000;99995
10000;99994
100000;99993
100001;99992
100002;99991
100003;99990
100004;9999
100005;99989
100006;99988
100007;99987
100008;99986
100009;99985
10001;99984
100010;99983
100011;99982
100012;99981
100013;99980
100014;9998
100015;99979
100016;99978
100017;99977
100018;99976
100019;99975
10002;99974
100020;99973
100021;99972
100022;99971
100023;99970
100024;9997
100025;99969
100026;99968
100027;99967
100028;99966
100029;99965
10003;99964
100030;99963
100031;99962
100032;99961
100033;99960
100034;9996
100035;99959
100036;99958
100037;99957
100038;99956
100039;99955
10004;99954
100040;99953
100041;99952
100042;99951
100043;99950
100044;9995
100045;99949
100046;99948
100047;99947
100048;99946
100049;99945
10005;99944
100050;99943
100051;99942
100052;99941
100053;99940
100054;9994
100055;99939
100056;99938
100057;99937
100058;99936
100059;99935
10006;99934
100060;99933
100061;99932
100062;99931
100063;99930
100064;9993
100065;99929
100066;99928
100067;99927
100068;99926
100069;99925
10007;99924
100070;99923
100071;99922
100072;99921
100073;99920
100074;9992
100075;99919
100076;99918
100077;99917
100078;99916
100079;99915
10008;99914
100080;99913
100081;99912
100082;99911
100083;99910
100084;9991
100085;99909
100086;99908
100087;99907
100088;99906
100089;99905
10009;99904
100090;99903
100091;99902
100092;99901
100093;99900
100094;9990
100095;999
100096;99899
100097;99898
100098;99897
100099;99896
1001;99895
10010;99894
100100;99893
100101;99892
100102;99891
100103;99890
100104;9989
100105;99889
100106;99888
100107;99887
100108;99886
100109;99885
10011;99884
100110;99883
100111;99882
100112;99881
100113;99880
100114;9988
100115;99879
100116;99878
100117;99877
100118;99876
100119;99875
10012;99873
100120;99872
100121;99871
100122;99870
100123;9987
100124;99869
100125;99868
100126;99867
100127;99866
100128;99865
100129;99864
10013;99863
100130;99862
100131;99861
100132;99860
100133;9986
100134;99859
100135;99858
100136;99857
100137;99856
100138;99855
100139;99854
10014;99853
100140;99852
100141;99851
100142;99850
100143;9985
100144;99849
100145;99848
100146;99847
100147;99846
100148;99845
100149;99844
10015;99843
100150;99842
100151;99841
100152;99840
100153;9984
100154;99839
100155;99838
100156;99837
100157;99836
100158;99835
100159;99834
10016;99833
100160;99832
100161;99831
100162;99830
100163;9983
100164;99829
100166;99828
100167;99827
100168;99826
100169;99825
10017;99824
100170;99823
100171;99822
100172;99821
100173;99820
100174;9982
100175;99819
100176;99818
100177;99817
100178;99816
100179;99815
10018;99814
100180;99813
100181;99812
100182;99811
100183;99810
100184;9981
100185;99809
100186;99808
100187;99807
100188;99806
100189;99805
10019;99804
100190;99803
100191;99802
100192;99801
100193;99800
100194;9980
100195;998
100196;99799
100197;99798
100198;99797
100199;99796
1002;99795
10020;99794
100200;99793
100201;99792
100202;99791
100203;99790
100204;9979
100205;99789
100206;99788
100207;99787
100208;99786
100209;99785
10021;99784
100210;99783
100211;99782
100212;99781
100213;99780
100214;9978
100215;99779
100216;99778
100217;99777
100218;99776
100219;99775
10022;99774
100220;99773
100221;99772
100222;99771
100223;99770
100224;9977
100225;99769
100226;99768
100227;99767
